chr	pos	w	Order
chr1	8720000	3	1
chr1	8880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	9120000	3|4|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	36
chr1	9240000	6|8|9|10|11|22|23|24|25|28|29|30|31|32|33|34|37|38|39|40	20
chr1	9280000	3|4|5	3
chr1	9480000	3	1
chr1	9600000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	9720000	5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	36
chr1	9880000	9|10|11|12|13|14|15|16|17|18|19|20|21|23|24|27|28|29|30|31|32|33|34|35	24
chr1	9920000	3|4|5|6|7|8	6
chr1	10160000	3|4	2
chr1	10200000	5|6|7|8|9|10|12|13|14|16|17|20|24|39|40	15
chr1	10360000	3|4	2
chr1	10440000	10|11|12|13|14|15|16|17|18|19|20|24|26|27|29|30|31|32|33|34|35|36|37|38|39|40	26
chr1	10480000	5|6|7|8|9|21|22|23|25|28	10
chr1	10520000	3|4	2
chr1	10640000	3	1
chr1	11000000	4|5|6|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	25
chr1	11040000	3|7|8|9|10|11|12|13|14|15|16|17|18	13
chr1	11240000	3|4|5|6|7|8|9	7
chr1	11640000	3|4|5|6|7	5
chr1	11800000	15	1
chr1	12000000	4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19	16
chr1	12040000	3	1
chr1	12240000	3|4|5|6|7|8|9|10|11|12|13|14	12
chr1	12360000	5	1
chr1	12400000	3|4	2
chr1	12640000	3|4	2
chr1	12840000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	13360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	13560000	3|4	2
chr1	13800000	3|4|5	3
chr1	13840000	6|7	2
chr1	13960000	3|4|5|6|7|8|9|10|11|12|13|14	12
chr1	14120000	3|4	2
chr1	14560000	3|4|5|6	4
chr1	14600000	7|8|9|10|11	5
chr1	14760000	3	1
chr1	14800000	4	1
chr1	15080000	4|5|6|7|8|9|10	7
chr1	15120000	3|11|12|13|14|15|16|17|18|19|20|21|22	13
chr1	15280000	3	1
chr1	15320000	4|5|9|10|11|12|13|14|15|16|17	11
chr1	15520000	3|4|5|6|7|8|9|10|11|12	10
chr1	15760000	3|4|5|6	4
chr1	16040000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	16080000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	16240000	3	1
chr1	16520000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	16880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	17440000	3|4|5|6|7|11|12|13	8
chr1	17480000	8|9|10	3
chr1	17640000	3|5|6|7|8|9|10|11|12|13|14|15|16|17|18	15
chr1	17680000	4	1
chr1	17920000	3|4|5	3
chr1	18240000	3|4|5|6|7	5
chr1	18560000	3|4|5|6|7|8|9|10	8
chr1	18600000	11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	20
chr1	18880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	19080000	3|4	2
chr1	19120000	5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	36
chr1	19240000	8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	33
chr1	19280000	7	1
chr1	19320000	4|5|6	3
chr1	19360000	3	1
chr1	19640000	3|4	2
chr1	19680000	5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	36
chr1	19880000	3|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	37
chr1	19920000	4	1
chr1	20160000	37|38|39|40	4
chr1	20200000	3|4|5|6|7	5
chr1	20480000	3|4|5	3
chr1	20520000	6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	35
chr1	20680000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	20880000	23|24|25|28	4
chr1	20920000	4	1
chr1	20960000	3	1
chr1	21200000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	21360000	3|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	30
chr1	21680000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	21840000	3	1
chr1	22080000	5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	36
chr1	22120000	3|4	2
chr1	22400000	5|6	2
chr1	22440000	3|4|7|8	4
chr1	22640000	5|6|7|8|9|10|11|15|16|17|23|24|25|26|27|28|29|30|31|32|34	21
chr1	22680000	3|4|12|13|14|33|35|37	8
chr1	22960000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	23080000	10|18|24|25|28|30|33|36|37|38|39|40	12
chr1	23280000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	23480000	4	1
chr1	23520000	3|5|6|10|11	5
chr1	23560000	12|13|14|15|18|19|20|25|27|28|29|33|34|35|36|39|40	17
chr1	23760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37	35
chr1	23960000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32	30
chr1	24040000	7|8|11	3
chr1	24080000	6	1
chr1	24120000	5	1
chr1	24200000	3|4|7	3
chr1	24400000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20	18
chr1	24640000	3|4|5|6|7|8|9|10|11|12|13|14|15	13
chr1	24840000	3|4|5|6|7|8|9|10	8
chr1	25280000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	25400000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	25560000	3	1
chr1	25800000	3|4|5|6	4
chr1	25840000	7|8|9|10	4
chr1	26000000	3|5|6|7|8|9|10|11|12|13	10
chr1	26040000	4|14|15	3
chr1	26160000	3	1
chr1	26280000	3|4	2
chr1	26480000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26	24
chr1	26600000	3	1
chr1	26800000	3	1
chr1	26880000	3|4	2
chr1	26920000	19|29|30|33	4
chr1	26960000	4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|20|21|22|23|24|25|26|27|28|31|32|34|35|36|37|38	31
chr1	27280000	3|4|9	3
chr1	27320000	8	1
chr1	27400000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	27720000	5|6	2
chr1	27840000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	28000000	5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	36
chr1	28040000	3|4	2
chr1	28080000	5	1
chr1	28240000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	28360000	6|7|8	3
chr1	28520000	3|4|5|6|7	5
chr1	28640000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	28760000	9|13|24	3
chr1	28880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	29040000	3	1
chr1	29200000	18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	23
chr1	29240000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17	15
chr1	29520000	3|4	2
chr1	29720000	3|4|5	3
chr1	29760000	6	1
chr1	30080000	3	1
chr1	30120000	4|5|6|7|8	5
chr1	30360000	3|4|5|6|7|8	6
chr1	30720000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	30800000	38|39|40	3
chr1	30920000	3|15|20|21	4
chr1	30960000	4|5|6|7|8|9|10|11|12|13|14|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	34
chr1	31160000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	31360000	6|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	33
chr1	31400000	3|4|5|7|8	5
chr1	31560000	3|4|5|6|7|8|9|10|11|12|13|14|15|31|32|33|34|35|36|37|38|39|40	23
chr1	31640000	5|6|14|15|16|18|19|20|31|33|34|35	12
chr1	31800000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	32080000	4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|23|24	19
chr1	32200000	3|4|5|12|13|14|15|16|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	31
chr1	32360000	12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	29
chr1	32400000	3|4|5|6|7|8|9|10|11	9
chr1	32640000	3	1
chr1	32680000	4|5|6|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	27
chr1	32880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	33080000	7|8|9|10|11|12|13|14|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	26
chr1	33120000	3|4|5|6|15|16|17|18|19|20|21|22	12
chr1	33280000	31|32	2
chr1	33320000	3	1
chr1	33480000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	33640000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20	18
chr1	34080000	3	1
chr1	34760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28	26
chr1	34880000	26|27|28|29|30|31	6
chr1	34960000	4|32|33|34|35|36|37|38	8
chr1	35000000	3|39|40	3
chr1	35160000	3|4|5|6|7|8|9|10|14|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	32
chr1	35440000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	33
chr1	35560000	3|4|5|13|14|15|16|17|18|19|20|21|22|23|24|25|26|36|37|38|39|40	22
chr1	35800000	3|4|5	3
chr1	35840000	6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|23|24|26|29|30|31|32|33|34|35|36|37|38|39|40	30
chr1	36080000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	36320000	3|4|23|28|29|30|31|32|33|35	10
chr1	36440000	19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	22
chr1	36480000	12|13|14|15|16|17|18	7
chr1	36520000	3|4|5|6|7|8|9|10|11	9
chr1	37040000	3|4|5	3
chr1	37440000	3|4|5|6|7|8|9|10|11|12|13|14|15|16	14
chr1	37480000	17|18|19|20|21|22	6
chr1	37520000	23|28|30|31|32	5
chr1	37560000	29	1
chr1	37680000	8|10|11|12|13|14|17|28|32|33|34|35|36|37|38|39|40	17
chr1	37800000	4|22|23|24|25|26	6
chr1	37840000	29|30	2
chr1	37880000	6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|27|28|31|32|33|34|35|36|37|38|39	28
chr1	38000000	4|5|6|7|8|9|10|11|12|13|14|15|16|17|18	15
chr1	38040000	3	1
chr1	38840000	3|4|5|6|7|8|9|10|11|12|13|14|15	13
chr1	39080000	3|4|5|6|7|8|9	7
chr1	39280000	3	1
chr1	39480000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	39520000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	39760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	39800000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	40080000	3|4|5|6	4
chr1	40440000	3|4|5|6|7|9|11|12|13|14|15	11
chr1	40520000	8|9|10|17	4
chr1	40840000	12|13|15	3
chr1	41000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29	27
chr1	41240000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|34|35	31
chr1	41480000	24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	17
chr1	41520000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23	21
chr1	41800000	3|4|5|6	4
chr1	42160000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	22
chr1	42320000	3|4|19|20	4
chr1	42760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	42920000	3|4|8|9|10|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	34
chr1	43080000	3	1
chr1	43160000	4|5|6|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	33
chr1	43200000	3|7|8|9|10	5
chr1	43400000	3	1
chr1	43440000	4|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	29
chr1	43520000	5|6|12	3
chr1	43640000	7|8|9|10|24|25|26|27	8
chr1	43680000	6|16|17|18|19|20|21|22|23|28|29|30|31|32|33|34|35|36|38|39|40	21
chr1	43720000	3|4|5|11|12|13|14|15|37	9
chr1	44040000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	37
chr1	44080000	24	1
chr1	44200000	8|9|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	28
chr1	44240000	3|4	2
chr1	44320000	6	1
chr1	44720000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	45000000	3|4|5|6|7|8|23|24|25|33	10
chr1	45320000	3|4|5|6|7	5
chr1	45360000	8|9|10|11|12|13|14|15|16|17	10
chr1	45600000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31	29
chr1	45880000	3|4	2
chr1	45920000	5	1
chr1	46000000	4|6|7	3
chr1	46040000	3|8|9|10|11|12|13|15|16|17|18|19|20	13
chr1	46240000	4|5|7	3
chr1	46360000	3|4|5|6|7|8|9|10|11|12	10
chr1	46560000	3	1
chr1	46720000	3	1
chr1	46880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	46920000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	47080000	3	1
chr1	47160000	3|4|5	3
chr1	47360000	3|6|7|8|9|10	6
chr1	47440000	4|5	2
chr1	47720000	3|4|5|6|7|8|9|10|13	9
chr1	47960000	3	1
chr1	48000000	5	1
chr1	48080000	5|6|7|10|11|12|13|18|19|20|26	11
chr1	48120000	8|9|14|15|16|17|21|22|23|24|25|27|28|29	14
chr1	48240000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32	30
chr1	48520000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39	37
chr1	48840000	32|33|35	3
chr1	48880000	13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|34	20
chr1	48920000	3|4|5|6|7|8|9|10|11|12	10
chr1	50080000	3|4	2
chr1	50360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	50600000	3|4|13|14|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34	23
chr1	50760000	3|4|5|6|7|8|9|10|33|35|36|37|38|39|40	15
chr1	51320000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	51520000	3|4	2
chr1	51800000	3|4|5|6|7|8|9|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31	28
chr1	51840000	10	1
chr1	52040000	3|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25	22
chr1	52080000	4	1
chr1	52360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17	15
chr1	52680000	3|4	2
chr1	52720000	5|6|7|8	4
chr1	52920000	3	1
chr1	53080000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	53120000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	53440000	3|4|5|6	4
chr1	53840000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17	15
chr1	53960000	10|11|12|13|14|15|16|18	8
chr1	54040000	8|9|11|12	4
chr1	54080000	3|4|5|6|7	5
chr1	54480000	3|4|5|6|7|8	6
chr1	54800000	3|4|5	3
chr1	54840000	6|7|8|9|10|11|12	7
chr1	54880000	13|14|15|16|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	24
chr1	55040000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	55280000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31	29
chr1	55680000	3	1
chr1	55880000	3|4|5|6|7|8	6
chr1	56400000	3|4	2
chr1	56600000	3|4|5|6|7|8|9	7
chr1	56800000	7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	34
chr1	56840000	3|4|5|6	4
chr1	57400000	3|4|5|6|7	5
chr1	58000000	3	1
chr1	58040000	4|5|6|7	4
chr1	58160000	3|4|5|6|7|8|9|10|11	9
chr1	58200000	12|14	2
chr1	58480000	3|4|5|6|7	5
chr1	58520000	8|9|10|11|12|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	31
chr1	58680000	10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|30|33|34|35|36|37|38|39|40	27
chr1	58720000	3|4|5|6|7|8|9	7
chr1	59280000	3	1
chr1	59760000	3|4|5|6|7|8|9	7
chr1	59840000	8|10|11	3
chr1	59880000	13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34	22
chr1	59960000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	37
chr1	60160000	3	1
chr1	60280000	3|6	2
chr1	60840000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|19|20	16
chr1	60960000	8|9|15|16|17|18|19|20|22|23	10
chr1	61040000	3|4|5|6|7|8|9|10|19|20|21|22	12
chr1	61360000	4|5|6	3
chr1	61440000	3|4	2
chr1	61680000	3|4	2
chr1	61760000	6|9|10|12	4
chr1	61920000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	62080000	8|9|11|13|25|26|34|35	8
chr1	62120000	4|5|6|7|10|12|27|28|29|30|31|32|37|38|39|40	16
chr1	62160000	3	1
chr1	62440000	3|4|5|6|7|8|9|10|11|12|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	27
chr1	62800000	3|4|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28	22
chr1	62840000	5|6|7|8	4
chr1	63320000	3|4	2
chr1	63560000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27	25
chr1	63920000	3	1
chr1	64240000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21	19
chr1	64680000	3|4|5|7|8|9|23	7
chr1	64840000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	65040000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	65200000	7|9|10|14|15|16|17|18|19|20|21|22|24|26	14
chr1	65240000	3|4|5|6|8	5
chr1	65440000	3|4	2
chr1	65680000	3|4|5|6|7|8|9|10|11|13|14	11
chr1	65720000	12|15|16	3
chr1	65960000	3|4|5|6	4
chr1	66240000	3|4|5|6|7|8|9|10|11|12|13|14	12
chr1	66440000	3|4	2
chr1	66480000	5	1
chr1	66520000	16|17|18|19|20|21|22|23|24|25|26|27|28|29	14
chr1	66760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	66960000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr1	67160000	3|8|9|14|15|16|26|27|28|29|30|31|32|33|34|36|37|38|40	19
chr1	67200000	4|5|10|11|12|13|17|18|19|20|21|22|23|24|25|35|39	17
