chr_x	start_x	end_x	chr_y	start_y	end_y	anchor_ID_x	anchor_ID_y	loopID	Benign	Malignant	Consistent_in_benign_or_tumour
chr10	62100000	62110000	chr10	62230000	62250000	10378	10379	10378_10379	1	1	FALSE
chr10	62430000	62450000	chr10	63070000	63080000	10381	10385	10381_10385	0	1	FALSE
chr10	63160000	63210000	chr10	63610000	63630000	10387	10390	10387_10390	3	3	TRUE
chr10	63240000	63270000	chr10	63610000	63630000	10388	10390	10388_10390	1	1	FALSE
chr10	67860000	67890000	chr10	68210000	68220000	10395	10399	10395_10399	0	1	FALSE
chr10	67860000	67890000	chr10	68310000	68330000	10395	10400	10395_10400	2	1	FALSE
chr1	11350000	11370000	chr1	11610000	11660000	103	104	103_104	1	1	FALSE
chr10	68350000	68380000	chr10	68920000	68950000	10401	10407	10401_10407	0	1	FALSE
chr1	164550000	164570000	chr1	164770000	164800000	1040	1045	1040_1045	0	1	FALSE
chr1	164600000	164610000	chr1	164770000	164800000	1041	1045	1041_1045	0	1	FALSE
chr10	71380000	71400000	chr10	71690000	71710000	10425	10427	10425_10427	1	1	FALSE
chr10	71380000	71400000	chr10	71790000	71830000	10425	10428	10425_10428	0	1	FALSE
chr10	71890000	71910000	chr10	72030000	72060000	10429	10431	10429_10431	2	1	FALSE
chr10	72030000	72060000	chr10	72330000	72350000	10431	10435	10431_10435	2	1	FALSE
chr10	72120000	72130000	chr10	72330000	72350000	10432	10435	10432_10435	1	1	FALSE
chr10	72230000	72240000	chr10	72330000	72350000	10434	10435	10434_10435	0	1	FALSE
chr10	72360000	72390000	chr10	72690000	72710000	10436	10439	10436_10439	0	1	FALSE
chr10	72360000	72390000	chr10	73050000	73080000	10436	10443	10436_10443	4	1	TRUE
chr10	74140000	74160000	chr10	75080000	75120000	10451	10459	10451_10459	0	1	FALSE
chr10	74240000	74280000	chr10	75060000	75070000	10453	10458	10453_10458	0	1	FALSE
chr10	75080000	75120000	chr10	75200000	75250000	10459	10460	10459_10460	0	1	FALSE
chr10	75370000	75420000	chr10	76980000	77000000	10462	10470	10462_10470	0	1	FALSE
chr10	75370000	75420000	chr10	77010000	77020000	10462	10471	10462_10471	0	1	FALSE
chr10	76020000	76080000	chr10	76280000	76320000	10467	10468	10467_10468	0	2	FALSE
chr10	76020000	76080000	chr10	76530000	76570000	10467	10469	10467_10469	0	1	FALSE
chr10	77150000	77190000	chr10	77440000	77450000	10472	10476	10472_10476	0	1	FALSE
chr10	78040000	78080000	chr10	79090000	79100000	10483	10491	10483_10491	0	1	FALSE
chr10	78040000	78080000	chr10	79130000	79140000	10483	10492	10483_10492	0	1	FALSE
chr10	78040000	78080000	chr10	79280000	79300000	10483	10494	10483_10494	0	3	TRUE
chr10	82970000	82980000	chr10	84100000	84110000	10507	10514	10507_10514	0	1	FALSE
chr10	83080000	83090000	chr10	83460000	83470000	10509	10511	10509_10511	0	1	FALSE
chr10	84250000	84270000	chr10	84520000	84550000	10515	10517	10515_10517	2	1	FALSE
chr10	84560000	84570000	chr10	86350000	86380000	10518	10527	10518_10527	0	1	FALSE
chr10	84580000	84590000	chr10	86350000	86380000	10519	10527	10519_10527	0	1	FALSE
chr10	84600000	84620000	chr10	86350000	86380000	10520	10527	10520_10527	0	1	FALSE
chr10	84770000	84800000	chr10	86350000	86380000	10522	10527	10522_10527	0	3	TRUE
chr10	85510000	85520000	chr10	86090000	86100000	10523	10526	10523_10526	0	1	FALSE
chr10	85550000	85560000	chr10	86350000	86380000	10524	10527	10524_10527	0	1	FALSE
chr10	87840000	87870000	chr10	88150000	88160000	10535	10539	10535_10539	0	1	FALSE
chr10	87840000	87870000	chr10	88460000	88470000	10535	10543	10535_10543	0	1	FALSE
chr1	165360000	165380000	chr1	165900000	165940000	1053	1057	1053_1057	0	1	FALSE
chr10	89780000	89800000	chr10	90750000	90760000	10553	10559	10553_10559	3	1	TRUE
chr10	89780000	89800000	chr10	90820000	90830000	10553	10561	10553_10561	0	1	FALSE
chr10	89810000	89820000	chr10	90140000	90150000	10554	10556	10554_10556	0	1	FALSE
chr10	90140000	90150000	chr10	90560000	90570000	10556	10557	10556_10557	0	1	FALSE
chr10	95120000	95130000	chr10	95350000	95380000	10587	10589	10587_10589	0	1	FALSE
chr10	96370000	96410000	chr10	97020000	97040000	10597	10605	10597_10605	1	1	FALSE
chr10	97470000	97480000	chr10	97620000	97630000	10608	10609	10608_10609	0	1	FALSE
chr10	97900000	97920000	chr10	98060000	98070000	10612	10614	10612_10614	0	1	FALSE
chr10	98160000	98170000	chr10	98310000	98320000	10615	10616	10615_10616	0	1	FALSE
chr10	98720000	98730000	chr10	99230000	99270000	10619	10623	10619_10623	0	1	FALSE
chr10	98830000	98840000	chr10	99100000	99110000	10620	10621	10620_10621	0	1	FALSE
chr10	99760000	99770000	chr10	100230000	100240000	10626	10630	10626_10630	0	1	FALSE
chr1	167050000	167080000	chr1	167370000	167380000	1062	1065	1062_1065	0	1	FALSE
chr10	100320000	100340000	chr10	100500000	100520000	10631	10633	10631_10633	2	3	TRUE
chr10	100420000	100460000	chr10	100860000	100890000	10632	10636	10632_10636	0	1	FALSE
chr10	101190000	101220000	chr10	102000000	102030000	10638	10645	10638_10645	0	1	FALSE
chr10	102490000	102510000	chr10	102580000	102590000	10648	10649	10648_10649	1	1	FALSE
chr10	103060000	103100000	chr10	103240000	103260000	10653	10654	10653_10654	0	1	FALSE
chr10	103590000	103610000	chr10	103680000	103690000	10656	10657	10656_10657	1	1	FALSE
chr10	103590000	103610000	chr10	103850000	103910000	10656	10659	10656_10659	1	1	FALSE
chr10	103700000	103730000	chr10	104210000	104230000	10658	10661	10658_10661	3	1	TRUE
chr10	109880000	109900000	chr10	110000000	110020000	10668	10669	10668_10669	1	1	FALSE
chr10	109880000	109900000	chr10	110110000	110150000	10668	10670	10668_10670	3	4	TRUE
chr10	110110000	110150000	chr10	110520000	110570000	10670	10673	10670_10673	1	1	FALSE
chr10	110300000	110340000	chr10	110600000	110610000	10672	10674	10672_10674	0	1	FALSE
chr10	110700000	110710000	chr10	111450000	111460000	10675	10684	10675_10684	0	1	FALSE
chr10	115100000	115140000	chr10	116380000	116400000	10713	10722	10713_10722	0	1	FALSE
chr10	115400000	115440000	chr10	116320000	116330000	10716	10720	10716_10720	0	1	FALSE
chr10	115400000	115440000	chr10	116410000	116420000	10716	10723	10716_10723	0	1	FALSE
chr10	115690000	115710000	chr10	116380000	116400000	10717	10722	10717_10722	1	1	FALSE
chr10	115790000	115810000	chr10	116380000	116400000	10718	10722	10718_10722	0	1	FALSE
chr1	167720000	167760000	chr1	167920000	167940000	1071	1073	1071_1073	1	1	FALSE
chr10	116620000	116630000	chr10	116770000	116820000	10724	10727	10724_10727	0	1	FALSE
chr10	117480000	117560000	chr10	118690000	118700000	10733	10742	10733_10742	0	1	FALSE
chr10	118560000	118590000	chr10	119010000	119020000	10741	10745	10741_10745	0	1	FALSE
chr10	119180000	119210000	chr10	119500000	119510000	10747	10750	10747_10750	0	1	FALSE
chr10	120430000	120440000	chr10	120730000	120740000	10760	10762	10760_10762	1	1	FALSE
chr10	120840000	120850000	chr10	121860000	121870000	10763	10776	10763_10776	0	1	FALSE
chr10	120940000	120970000	chr10	121510000	121520000	10765	10772	10765_10772	0	1	FALSE
chr10	121590000	121620000	chr10	121710000	121750000	10774	10775	10774_10775	0	1	FALSE
chr10	121710000	121750000	chr10	121880000	121920000	10775	10777	10775_10777	0	1	FALSE
chr10	122330000	122350000	chr10	122550000	122570000	10779	10781	10779_10781	0	1	FALSE
chr10	123040000	123100000	chr10	124360000	124400000	10782	10791	10782_10791	0	1	FALSE
chr1	168570000	168620000	chr1	169200000	169210000	1078	1086	1078_1086	0	1	FALSE
chr10	124520000	124550000	chr10	124770000	124780000	10792	10795	10792_10795	0	1	FALSE
chr10	125180000	125190000	chr10	125340000	125350000	10801	10802	10801_10802	0	1	FALSE
chr10	126100000	126110000	chr10	127590000	127600000	10805	10812	10805_10812	0	1	FALSE
chr1	168660000	168670000	chr1	169320000	169360000	1080	1087	1080_1087	0	1	FALSE
chr10	128060000	128080000	chr10	128150000	128160000	10817	10818	10817_10818	1	1	FALSE
chr10	128510000	128540000	chr10	128850000	128870000	10821	10822	10821_10822	0	1	FALSE
chr10	129010000	129050000	chr10	129640000	129650000	10823	10825	10823_10825	0	1	FALSE
chr10	129010000	129050000	chr10	129890000	129910000	10823	10828	10823_10828	0	1	FALSE
chr10	129010000	129050000	chr10	130150000	130160000	10823	10831	10823_10831	0	1	FALSE
chr10	129950000	129990000	chr10	130120000	130130000	10829	10830	10829_10830	0	1	FALSE
chr10	130180000	130210000	chr10	131770000	131810000	10832	10845	10832_10845	1	2	FALSE
chr10	130350000	130360000	chr10	131680000	131690000	10834	10844	10834_10844	0	1	FALSE
chr10	130460000	130470000	chr10	131840000	131900000	10836	10847	10836_10847	0	1	FALSE
chr10	130670000	130700000	chr10	131770000	131810000	10840	10845	10840_10845	0	1	FALSE
chr10	130670000	130700000	chr10	131840000	131900000	10840	10847	10840_10847	1	1	FALSE
chr10	132210000	132250000	chr10	132440000	132480000	10850	10853	10850_10853	0	3	TRUE
chr10	132440000	132480000	chr10	132570000	132580000	10853	10854	10853_10854	0	1	FALSE
chr11	550000	570000	chr11	740000	750000	10860	10862	10860_10862	1	1	FALSE
chr11	1100000	1110000	chr11	1500000	1520000	10863	10865	10863_10865	0	1	FALSE
chr11	1630000	1640000	chr11	2150000	2160000	10866	10871	10866_10871	1	1	FALSE
chr11	1870000	1880000	chr11	2150000	2160000	10870	10871	10870_10871	0	1	FALSE
chr11	2520000	2560000	chr11	2840000	2850000	10875	10877	10875_10877	0	1	FALSE
chr11	2690000	2710000	chr11	2860000	2900000	10876	10878	10876_10878	1	2	FALSE
chr11	3080000	3090000	chr11	3210000	3220000	10881	10882	10881_10882	0	1	FALSE
chr1	169460000	169470000	chr1	169540000	169560000	1089	1090	1089_1090	0	1	FALSE
chr11	6000000	6040000	chr11	6680000	6710000	10900	10906	10900_10906	0	1	FALSE
chr11	6370000	6400000	chr11	6600000	6610000	10903	10905	10903_10905	0	1	FALSE
chr11	6370000	6400000	chr11	6680000	6710000	10903	10906	10903_10906	1	1	FALSE
chr11	7420000	7470000	chr11	7660000	7710000	10908	10912	10908_10912	2	1	FALSE
chr11	7490000	7510000	chr11	7660000	7710000	10909	10912	10909_10912	0	2	FALSE
chr11	7530000	7540000	chr11	7660000	7710000	10910	10912	10910_10912	0	1	FALSE
chr11	8250000	8260000	chr11	8550000	8580000	10917	10920	10917_10920	0	1	FALSE
chr11	8670000	8710000	chr11	8800000	8820000	10921	10922	10921_10922	2	2	FALSE
chr11	9160000	9180000	chr11	9400000	9410000	10926	10927	10926_10927	0	1	FALSE
chr11	9160000	9180000	chr11	9490000	9510000	10926	10929	10926_10929	0	1	FALSE
chr11	9610000	9640000	chr11	9740000	9790000	10931	10932	10931_10932	2	2	FALSE
chr11	10390000	10420000	chr11	10690000	10700000	10937	10943	10937_10943	0	1	FALSE
chr11	10540000	10550000	chr11	10720000	10750000	10940	10944	10940_10944	0	1	FALSE
chr11	10920000	10960000	chr11	11010000	11050000	10947	10948	10947_10948	1	2	FALSE
chr11	10920000	10960000	chr11	12020000	12070000	10947	10962	10947_10962	0	1	FALSE
chr11	11010000	11050000	chr11	11260000	11280000	10948	10951	10948_10951	0	1	FALSE
chr11	11010000	11050000	chr11	11620000	11640000	10948	10957	10948_10957	1	1	FALSE
chr11	11010000	11050000	chr11	12020000	12070000	10948	10962	10948_10962	0	3	TRUE
chr1	169920000	169960000	chr1	170880000	170900000	1094	1101	1094_1101	1	1	FALSE
chr11	11290000	11310000	chr11	11750000	11820000	10952	10958	10952_10958	1	1	FALSE
chr11	11330000	11340000	chr11	11750000	11820000	10953	10958	10953_10958	0	1	FALSE
chr1	169970000	169980000	chr1	170430000	170440000	1095	1098	1095_1098	0	1	FALSE
chr11	12250000	12350000	chr11	12590000	12620000	10963	10968	10963_10968	1	1	FALSE
chr11	12250000	12350000	chr11	13330000	13360000	10963	10977	10963_10977	0	1	FALSE
chr11	12410000	12430000	chr11	12860000	12910000	10964	10973	10964_10973	1	2	FALSE
chr11	12450000	12460000	chr11	12860000	12910000	10965	10973	10965_10973	0	1	FALSE
chr11	12560000	12570000	chr11	12860000	12910000	10967	10973	10967_10973	0	1	FALSE
chr1	169990000	170020000	chr1	170410000	170420000	1096	1097	1096_1097	0	1	FALSE
chr1	169990000	170020000	chr1	170740000	170760000	1096	1099	1096_1099	0	1	FALSE
chr11	12680000	12700000	chr11	12800000	12830000	10971	10972	10971_10972	1	1	FALSE
chr11	13760000	13780000	chr11	13940000	13980000	10978	10979	10978_10979	0	1	FALSE
chr11	14520000	14550000	chr11	15070000	15080000	10984	10989	10984_10989	2	1	FALSE
chr11	14520000	14550000	chr11	15200000	15220000	10984	10991	10984_10991	0	1	FALSE
chr11	14650000	14660000	chr11	14870000	14930000	10986	10988	10986_10988	0	1	FALSE
chr11	15710000	15720000	chr11	16590000	16650000	10999	11006	10999_11006	0	1	FALSE
chr11	16850000	16860000	chr11	17040000	17070000	11009	11011	11009_11011	0	1	FALSE
chr11	17220000	17240000	chr11	17370000	17390000	11012	11013	11012_11013	0	1	FALSE
chr11	17720000	17750000	chr11	18130000	18150000	11016	11019	11016_11019	0	1	FALSE
chr11	17720000	17750000	chr11	18410000	18420000	11016	11021	11016_11021	0	1	FALSE
chr11	17960000	18000000	chr11	18510000	18530000	11017	11022	11017_11022	0	1	FALSE
chr11	18390000	18400000	chr11	18510000	18530000	11020	11022	11020_11022	0	1	FALSE
chr11	18540000	18550000	chr11	18720000	18750000	11023	11024	11023_11024	1	3	TRUE
chr11	19060000	19090000	chr11	19880000	19920000	11026	11033	11026_11033	1	2	FALSE
chr11	19170000	19180000	chr11	20290000	20300000	11027	11036	11027_11036	0	1	FALSE
chr11	19530000	19580000	chr11	19810000	19830000	11030	11032	11030_11032	1	1	FALSE
chr11	20630000	20670000	chr11	20870000	20880000	11040	11041	11040_11041	0	1	FALSE
chr11	21130000	21140000	chr11	22000000	22010000	11042	11044	11042_11044	0	1	FALSE
chr11	23110000	23120000	chr11	24390000	24410000	11050	11051	11050_11051	0	1	FALSE
chr11	26620000	26670000	chr11	27120000	27200000	11059	11062	11059_11062	1	1	FALSE
chr11	26740000	26780000	chr11	26980000	26990000	11060	11061	11060_11061	0	1	FALSE
chr11	26740000	26780000	chr11	27320000	27330000	11060	11064	11060_11064	0	1	FALSE
chr11	26740000	26780000	chr11	27470000	27500000	11060	11067	11060_11067	1	1	FALSE
chr11	29410000	29440000	chr11	30100000	30110000	11075	11076	11075_11076	0	1	FALSE
chr11	30320000	30360000	chr11	30580000	30600000	11078	11079	11078_11079	3	1	TRUE
chr1	171490000	171500000	chr1	171720000	171730000	1107	1108	1107_1108	0	1	FALSE
chr11	31100000	31120000	chr11	32160000	32200000	11083	11094	11083_11094	0	2	FALSE
chr11	31270000	31280000	chr11	32140000	32150000	11086	11093	11086_11093	0	1	FALSE
chr1	171780000	171820000	chr1	172680000	172690000	1109	1115	1109_1115	0	1	FALSE
chr11	34500000	34520000	chr11	35380000	35430000	11109	11116	11109_11116	0	1	FALSE
chr1	171970000	172060000	chr1	172630000	172640000	1110	1114	1110_1114	0	1	FALSE
chr11	34990000	35000000	chr11	35380000	35430000	11115	11116	11115_11116	2	1	FALSE
chr11	37880000	37890000	chr11	38830000	38840000	11125	11139	11125_11139	0	1	FALSE
chr11	38150000	38160000	chr11	38740000	38760000	11128	11137	11128_11137	0	1	FALSE
chr11	38310000	38320000	chr11	38740000	38760000	11130	11137	11130_11137	0	1	FALSE
chr11	41070000	41080000	chr11	41420000	41430000	11153	11157	11153_11157	0	1	FALSE
chr11	41150000	41160000	chr11	41330000	41350000	11154	11156	11154_11156	0	1	FALSE
chr11	41230000	41240000	chr11	41330000	41350000	11155	11156	11155_11156	0	1	FALSE
chr11	41420000	41430000	chr11	42620000	42630000	11157	11172	11157_11172	0	1	FALSE
chr11	41440000	41520000	chr11	41750000	41770000	11158	11163	11158_11163	0	1	FALSE
chr11	41580000	41590000	chr11	42390000	42400000	11159	11169	11159_11169	0	1	FALSE
chr11	41650000	41660000	chr11	42470000	42490000	11162	11170	11162_11170	0	1	FALSE
chr11	42200000	42220000	chr11	42470000	42490000	11165	11170	11165_11170	0	1	FALSE
chr1	172700000	172770000	chr1	173810000	173850000	1116	1124	1116_1124	0	2	FALSE
chr11	42770000	42780000	chr11	43260000	43290000	11173	11177	11173_11177	0	1	FALSE
chr11	44090000	44130000	chr11	44660000	44670000	11185	11191	11185_11191	0	1	FALSE
chr11	44090000	44130000	chr11	44810000	44820000	11185	11194	11185_11194	0	1	FALSE
chr11	44090000	44130000	chr11	44870000	44880000	11185	11195	11185_11195	0	1	FALSE
chr11	44170000	44180000	chr11	44510000	44570000	11186	11189	11186_11189	0	1	FALSE
chr11	44240000	44320000	chr11	45010000	45020000	11187	11197	11187_11197	0	1	FALSE
chr11	44240000	44320000	chr11	45290000	45400000	11187	11200	11187_11200	0	1	FALSE
chr11	44350000	44360000	chr11	45410000	45450000	11188	11201	11188_11201	0	2	FALSE
chr11	44510000	44570000	chr11	45730000	45740000	11189	11205	11189_11205	0	1	FALSE
chr11	44610000	44650000	chr11	45410000	45450000	11190	11201	11190_11201	0	1	FALSE
chr11	44710000	44740000	chr11	45290000	45400000	11193	11200	11193_11200	0	1	FALSE
chr11	44710000	44740000	chr11	45560000	45570000	11193	11202	11193_11202	0	1	FALSE
chr1	12330000	12340000	chr1	12590000	12680000	111	114	111_114	0	1	FALSE
chr11	45930000	45940000	chr11	46320000	46330000	11208	11215	11208_11215	0	1	FALSE
chr11	46000000	46020000	chr11	46150000	46160000	11210	11213	11210_11213	0	1	FALSE
chr11	46220000	46250000	chr11	46600000	46630000	11214	11218	11214_11218	0	1	FALSE
chr11	46780000	46820000	chr11	47140000	47180000	11222	11226	11222_11226	0	1	FALSE
chr11	47090000	47100000	chr11	47460000	47480000	11225	11230	11225_11230	0	1	FALSE
chr11	47140000	47180000	chr11	47250000	47290000	11226	11228	11226_11228	0	1	FALSE
chr11	47140000	47180000	chr11	47300000	47370000	11226	11229	11226_11229	1	4	TRUE
chr11	47300000	47370000	chr11	47800000	47810000	11229	11232	11229_11232	0	1	FALSE
chr11	47300000	47370000	chr11	47820000	47830000	11229	11233	11229_11233	0	1	FALSE
chr1	173410000	173450000	chr1	173720000	173740000	1122	1123	1122_1123	3	1	TRUE
chr11	47980000	47990000	chr11	48100000	48130000	11235	11236	11235_11236	0	1	FALSE
chr11	56610000	56620000	chr11	56760000	56800000	11243	11245	11243_11245	1	1	FALSE
chr11	57630000	57680000	chr11	57800000	57840000	11254	11257	11254_11257	1	1	FALSE
chr11	57860000	57870000	chr11	58500000	58550000	11258	11263	11258_11263	0	1	FALSE
chr1	174260000	174270000	chr1	174730000	174740000	1126	1127	1126_1127	1	1	FALSE
chr11	61840000	61870000	chr11	62070000	62120000	11293	11295	11293_11295	1	2	FALSE
chr11	62380000	62430000	chr11	62860000	62870000	11299	11303	11299_11303	0	1	FALSE
chr11	63010000	63040000	chr11	63560000	63570000	11305	11313	11305_11313	0	1	FALSE
chr1	175420000	175440000	chr1	176240000	176250000	1133	1135	1133_1135	0	1	FALSE
chr11	68750000	68760000	chr11	69060000	69080000	11354	11362	11354_11362	0	1	FALSE
chr11	68830000	68840000	chr11	69630000	69710000	11358	11368	11358_11368	1	1	FALSE
chr11	69090000	69130000	chr11	70180000	70210000	11363	11371	11363_11371	0	1	FALSE
chr11	70700000	70710000	chr11	71390000	71400000	11373	11381	11373_11381	0	1	FALSE
chr11	71080000	71120000	chr11	71350000	71380000	11377	11380	11377_11380	3	1	TRUE
chr11	72880000	72890000	chr11	73150000	73180000	11398	11400	11398_11400	0	1	FALSE
chr11	74920000	74930000	chr11	75230000	75250000	11416	11419	11416_11419	0	1	FALSE
chr11	76720000	76740000	chr11	77110000	77130000	11431	11437	11431_11437	0	1	FALSE
chr11	76800000	76820000	chr11	77030000	77050000	11432	11435	11432_11435	1	1	FALSE
chr11	78630000	78660000	chr11	79470000	79480000	11446	11455	11446_11455	0	1	FALSE
