Protein Group	Gene	Protein name	CPCG0268	CPCG0366	CPCG0255	CPCG0258	CPCG0324	CPCG0246	CPCG0342	CPCG0336	CPCG0339	CPCG0331	CPCG0346	CPCG0365	CPCG0345
A6NHR9-2;A6NHR9;A6NHR9-3	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	26.78251223	26.39758092	26.01818606	27.13949456	26.83901779	27.10931061	25.41864705	26.71206188	26.5971206	25.91968548	26.75587077	26.69424884	26.68882099
A6NHX0;A6NNH0	GATSL2;GATSL1	GATS-like protein 2;GATS-like protein 1	NA	NA	NA	NA	6.290542457	9.451188992	NA	NA	NA	NA	NA	NA	NA
P14598;A6NI72;A8MVU1;P14598-2	NCF1;NCF1B;NCF1C	Neutrophil cytosol factor 1;Putative neutrophil cytosol factor 1B;Putative neutrophil cytosol factor 1C	20.7023396	24.68800979	18.65683102	17.97370497	22.68386876	17.74757553	25.40163136	20.34623989	19.78872698	23.78003212	21.29559977	22.52465267	17.12814524
A6NIH7	UNC119B	Protein unc-119 homolog B	25.60508891	25.65015871	25.24574797	25.93846797	26.04073888	25.95564646	24.66267543	26.19102679	25.48470922	26.04924	26.65859298	26.48383763	26.10647231
A6NK58	LIPT2	"Putative lipoyltransferase 2, mitochondrial"	NA	23.97673792	NA	25.17490272	NA	NA	23.25331081	24.56674759	NA	NA	24.33811075	NA	24.955583
A6NKT7	RGPD3	RanBP2-like and GRIP domain-containing protein 3	14.44819041	16.50899384	23.20560353	19.33524366	27.6399227	NA	17.80350318	19.16972984	16.95417182	21.02888597	19.15033139	19.63499099	19.03800514
A6QL63-3;A6QL63;A6QL63-2;A6QL63-5	BTBD11	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11	NA	NA	NA	26.57025507	NA	23.44341318	NA	NA	NA	17.36750432	26.65474141	27.32833761	20.9266554
A6ZKI3;Q17RB0	FAM127A;FAM127C	Protein FAM127A;Protein FAM127C	19.0560015	21.58156902	20.73738607	17.06571059	19.88234913	16.50651908	20.92963339	20.88753825	18.8643685	21.42519946	20.68678544	20.81381782	26.81234903
A7E2V4-5;A7E2V4;A7E2V4-3;A7E2V4-4;A7E2V4-2	ZSWIM8	Zinc finger SWIM domain-containing protein 8	NA	NA	NA	NA	7.288440749	8.91333179	NA	NA	20.12120156	NA	NA	NA	NA
A7E2Y1;A7E2Y1-3	MYH7B	Myosin-7B	23.37742009	22.79806872	22.50470584	23.29581566	24.50707889	15.5196759	NA	23.07119146	22.13004953	24.07903858	22.72622069	21.61061867	21.16852902
A8CG34;Q96HA1;Q96HA1-2;A8CG34-2;Q96HA1-3;A6NF01	POM121C;POM121	Nuclear envelope pore membrane protein POM 121C;Nuclear envelope pore membrane protein POM 121	20.45521781	23.59196485	NA	22.19175134	19.99070734	16.9153334	NA	NA	NA	22.3185373	24.01611684	23.03540135	21.6704158
A8MSI8	LYRM9	LYR motif-containing protein 9	14.92678923	12.35857483	14.42698998	14.24442679	NA	19.48130126	14.58862141	15.11280339	16.23969316	NA	9.982229909	14.98429244	NA
A8MUH7-2;A8MUH7;Q5T2W1	PDZK1P1;PDZK1	Putative PDZ domain-containing protein 1P;Na(+)/H(+) exchange regulatory cofactor NHE-RF3	21.33124683	29.27827764	20.7272756	21.69618913	NA	NA	26.69506896	28.9267746	29.69045278	22.21253032	30.94995456	29.91711871	26.82632271
P62308;A8MWD9	SNRPG;SNRPGP15	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	29.60465826	30.28543172	30.29441338	30.56980976	31.79823631	30.861226	31.2600597	31.17250751	31.01794348	29.49498913	30.8350203	30.77145393	31.01357899
A8MXV4	NUDT19	"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial"	26.59799222	27.21916405	27.02289061	27.35281664	27.59582534	27.626716	27.65891367	27.9148364	27.99432624	27.08471857	27.67800714	27.31321477	27.33445943
A8MZA4	GOLGA6L6	Putative golgin subfamily A member 6-like protein 6	20.80196959	17.45350218	18.71175591	20.2524872	NA	NA	19.69651496	18.62102279	17.00481594	21.50197555	17.88276307	17.48455096	21.78045091
A9UHW6;A9UHW6-2;A9UHW6-3	MIF4GD	MIF4G domain-containing protein	15.53347315	17.59354162	15.02295617	17.24120772	NA	NA	16.44509373	16.88814158	16.19561331	21.8010156	16.2168213	15.4013326	20.87240252
B0I1T2;B0I1T2-4;B0I1T2-3;B0I1T2-2	MYO1G	Unconventional myosin-Ig;Minor histocompatibility antigen HA-2	22.22774124	22.67553439	21.26959765	22.48926933	22.36733286	17.67106583	19.4156505	21.88908654	NA	22.79077802	23.09163237	22.34792556	21.94011556
B1ANS9;B1ANS9-2	WDR64	WD repeat-containing protein 64	19.13790053	19.52435454	19.44700122	19.41809079	NA	NA	19.39475587	19.29175438	19.28978703	18.96731466	19.33751082	19.46726456	19.21856247
B2RUZ4	SMIM1	Small integral membrane protein 1	18.15084352	19.51575768	21.49277924	19.75261315	NA	NA	NA	17.73224652	NA	20.0464389	20.88116925	21.16757071	21.78913436
B7ZAQ6-2;B7ZAQ6-3;P0CG08;B7ZAQ6;A6NKF9	GPR89A;GPR89B;GPR89C	Golgi pH regulator A;Golgi pH regulator B;Putative Golgi pH regulator C	22.44673709	25.43265057	24.81431115	23.09117823	24.10047301	26.10140147	22.15096994	23.45470152	22.37077579	23.98293444	23.97735863	22.37601385	25.1134885
B9A064;P0CG04;B9A064-2	IGLL5;IGLC1	Immunoglobulin lambda-like polypeptide 5;Ig lambda-1 chain C regions	32.67612196	32.22727433	31.82785427	32.8949099	32.05289337	32.49951135	31.43486894	32.75423561	32.8573709	31.89434277	31.43792707	32.75867445	31.07774515
C4AMC7;Q6VEQ5;A8K0Z3;A8MWX3	WASH3P;WASH2P;WASH1	Putative WAS protein family homolog 3;WAS protein family homolog 2;WAS protein family homolog 1	20.53452347	25.05075176	24.33834175	23.50972119	26.96149157	27.74080933	22.77140629	23.37688367	20.54699444	23.94502489	24.16604304	23.30847801	22.1275499
O43374-2;O43374;C9J798	RASA4;RASA4B	Ras GTPase-activating protein 4;Putative Ras GTPase-activating protein 4B	18.27981133	17.89321169	NA	NA	15.89467954	NA	NA	18.09379296	18.77857593	NA	18.81795322	NA	NA
C9JI98	TMEM238	Transmembrane protein 238	17.74550077	20.07236285	19.89525135	19.15702591	NA	31.21935614	NA	16.9944201	15.56161784	NA	21.14667859	20.93690122	20.74308158
C9JLW8	FAM195B	Protein FAM195B	23.43421994	23.14152174	23.14013734	23.50969921	29.25759088	NA	24.04497147	20.93226769	21.78847803	24.54289086	24.0719335	21.80083109	21.91297596
E9PAV3;E9PAV3-2;Q13765	NACA	"Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha"	28.88999338	28.80529172	28.55752751	28.413407	28.66199646	28.87504012	28.38324567	28.97483599	27.95642145	28.62643074	28.72638352	28.64725993	28.90575749
K7EJ46-3;K7EJ46-2;K7EJ46	SMIM22	Small integral membrane protein 22	24.51367562	24.8209807	26.47639862	22.48945589	34.18409945	NA	NA	23.40964114	27.49134285	15.19242242	24.8757964	26.09371445	26.8354409
O00115-2;O00115	DNASE2	Deoxyribonuclease-2-alpha	26.58100393	26.69264571	23.43572578	27.21256191	24.57271629	NA	26.01593416	26.65873793	24.85306975	26.15201127	28.00082806	26.60359787	25.91205783
O00116	AGPS	"Alkyldihydroxyacetonephosphate synthase, peroxisomal"	24.6356073	21.15779425	23.26660665	23.02974991	24.72183929	23.65161274	17.83515492	23.70073526	24.27730397	24.18343582	19.98756523	19.04796658	24.59069404
O00139-2;O00139-1;O00139-5;O00139;O00139-4	KIF2A	Kinesin-like protein KIF2A	22.97654495	23.46559219	22.86390381	22.78496784	25.98465315	NA	22.03037237	22.95249307	22.13434377	23.54988127	22.4738576	22.46997939	22.4160119
O00142-2;O00142-3;O00142;O00142-5;O00142-4	TK2	"Thymidine kinase 2, mitochondrial"	22.60436399	20.0091305	22.78095325	21.72416145	25.21443006	26.53690712	27.47657511	22.38110903	24.51099018	24.73638852	21.43869493	19.61237751	22.53647361
O00148;O00148-2	DDX39A	ATP-dependent RNA helicase DDX39A	22.67947636	25.0024724	24.17818219	25.01541349	24.26565978	NA	20.14671233	25.30624278	22.41313994	19.82792115	25.88665417	20.90586068	26.12734798
O00151	PDLIM1	PDZ and LIM domain protein 1	29.87756056	29.49688455	27.83153418	28.01543078	29.11255217	29.65006937	27.94578393	27.53129592	26.00368966	28.24846804	28.84156303	27.43489223	28.40107913
O00154-4;O00154-6;O00154-5;O00154-7;O00154;O00154-2;O00154-3	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	25.64997663	25.65352683	25.94433552	26.31366038	25.73967278	26.57079807	24.74830923	25.88139893	24.95888497	24.63753797	26.83426473	24.67818572	25.92837654
O00159-3	MYO1C	Unconventional myosin-Ic	32.67953324	32.19126062	32.19126062	31.94087059	32.43711558	32.70434071	32.42927199	32.05636459	31.64864044	32.4552042	31.87537355	32.36216829	32.4165151
O00160	MYO1F	Unconventional myosin-If	23.72329754	21.88517584	21.50594353	24.25665699	24.1882364	16.33119923	25.63262973	23.61584134	22.44889635	24.09431909	23.28354154	22.13839287	22.56202693
O00161;O00161-2	SNAP23	Synaptosomal-associated protein 23	27.70442426	27.8452036	29.00804153	28.35917846	29.08534147	28.09536783	27.47025487	27.39640157	27.88455111	27.58921206	27.69858812	28.49239652	28.07863919
O00165;O00165-2;O00165-5;O00165-3;O00165-4;O00165-6	HAX1	HCLS1-associated protein X-1	23.17760042	25.65764654	22.14573877	24.9075925	24.62637656	25.77641866	26.68593696	27.04616051	27.95959329	25.66780649	22.70632843	24.49352293	22.31068513
O00170	AIP	AH receptor-interacting protein	27.3048686	27.21076611	27.60650667	27.16783527	27.79685103	27.63553484	27.52090994	27.30810355	27.60895435	27.51213497	27.71875368	27.33460096	27.66297149
O00178	GTPBP1	GTP-binding protein 1	25.5895946	26.64811108	26.82708701	26.38891299	26.57125711	25.29272005	26.45760343	26.87439423	25.88808636	26.42483869	26.94445608	27.15521013	26.50742133
O00182-2;O00182;Q3B8N2-2;Q6DKI2;Q3B8N2	LGALS9	Galectin-9	25.58237338	27.12119236	22.10349089	25.74528936	25.04719011	NA	25.13309802	24.01674095	25.00929474	25.0562043	25.51987933	19.80145168	24.76194789
O00186	STXBP3	Syntaxin-binding protein 3	27.62694303	27.60630984	26.90460598	27.02385596	27.19701523	28.07835828	27.1594953	27.50704844	27.16991508	27.72872718	27.21913634	27.76551513	27.7436193
O00192-2;O00192	ARVCF	Armadillo repeat protein deleted in velo-cardio-facial syndrome	24.55884428	26.0608264	25.32545026	25.81104104	23.80554934	25.61454286	21.06888949	25.06112759	23.11223807	24.46982372	26.07348599	25.52967626	24.80560843
O00193	SMAP	Small acidic protein	23.21727397	23.23835932	23.20623922	23.30659945	NA	NA	22.81037884	23.16512836	22.78247283	22.58579561	23.2461737	23.23730028	23.21035757
O00194	RAB27B	Ras-related protein Rab-27B	28.4169815	28.74054423	30.41199968	29.31935918	28.74440176	30.98664737	28.81257559	29.18764385	29.83986331	29.77744074	28.57602376	29.98221674	29.15380849
O00203-3;O00203	AP3B1	AP-3 complex subunit beta-1	28.33887564	28.23520291	28.77778303	28.33765712	28.69724686	29.37420115	29.3578408	28.74716734	29.02396354	29.23649024	28.49597769	28.4514432	28.71837553
O00204;O00204-2	SULT2B1	Sulfotransferase family cytosolic 2B member 1	26.31386514	25.43224248	26.01049651	27.7004606	27.88554114	27.30127193	25.44133249	27.51653184	29.00471241	26.89971856	26.01346465	27.60885353	27.54277846
O00214;O00214-2	LGALS8	Galectin-8	18.56316077	21.20476197	17.55738485	19.98096996	NA	39.01356824	19.90358035	19.62747242	20.5294933	16.74078284	NA	17.51535253	NA
O00217	NDUFS8	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial"	28.44335801	28.5925193	27.98873466	28.18099102	28.14762117	29.40606912	27.43685078	27.28841172	27.67286701	26.31032611	27.23441989	28.50717555	27.87040025
O00231;O00231-2	PSMD11	26S proteasome non-ATPase regulatory subunit 11	29.75225788	30.05975858	29.95474821	29.69702122	30.19643527	29.80127804	29.93020659	30.2180568	29.95660328	30.10675694	30.11078182	29.61039508	29.93992561
O00232;O00232-2	PSMD12	26S proteasome non-ATPase regulatory subunit 12	28.05235213	28.74462645	28.68820999	28.32794049	28.34739843	28.59224798	28.51165435	28.81476155	28.65646004	28.45406344	28.7982933	28.25904264	28.40642137
O00233;O00233-2;O00233-3	PSMD9	26S proteasome non-ATPase regulatory subunit 9	28.45936044	28.07393281	27.85086831	27.94834191	28.30451445	29.09435269	28.89017445	28.67545899	28.69830744	27.90202954	28.49722704	28.19665705	28.75797789
O00244	ATOX1	Copper transport protein ATOX1	29.86689557	27.25171273	30.46055952	28.41149681	31.98235732	31.77691994	28.51834488	26.19687955	28.39902102	29.60271422	29.31999767	29.51427405	29.64176625
O00255-3;O00255-2;O00255	MEN1	Menin	21.40585328	20.19665003	18.83634979	21.54933677	21.12591377	NA	21.30815974	20.75134125	21.08819999	22.60819028	21.63969486	22.6906033	24.71336561
O00258;O00258-2	WRB	Tail-anchored protein insertion receptor WRB	NA	15.70419382	15.76476978	NA	9.926396792	11.82239475	15.3134926	15.2568293	15.59292899	NA	15.04069843	NA	NA
O00264;O00264-2	PGRMC1	Membrane-associated progesterone receptor component 1	30.58392251	30.08688613	29.08057888	30.10863468	30.26012792	29.66776418	29.81601942	30.05263959	29.61322605	29.41034087	29.35820845	29.05416516	30.28818299
O00267-2;O00267	SUPT5H	Transcription elongation factor SPT5	24.69181949	26.01734341	24.96705814	25.26280099	25.21301848	25.48184025	24.41630537	25.64847201	25.25778771	24.64146874	25.60632783	24.55514255	25.41684227
O00268	TAF4	Transcription initiation factor TFIID subunit 4	13.37622944	17.13269981	NA	16.23024605	14.21592831	14.73040766	16.99790625	18.3138733	NA	NA	16.9184581	14.07382744	NA
O00273;O00273-2	DFFA	DNA fragmentation factor subunit alpha	27.09414575	27.09830545	27.32085403	27.62310533	27.30001782	27.79124646	26.3587852	27.02489074	25.9289724	27.43188812	27.41968151	27.09388545	27.08290703
O00291-3;O00291	HIP1	Huntingtin-interacting protein 1	26.11437543	27.32609675	25.54381229	26.27180013	26.47729734	26.06475183	26.56780184	26.12056808	26.68517217	26.6754572	27.03527792	25.82506948	26.22070092
O00299	CLIC1	Chloride intracellular channel protein 1	32.39919475	32.3357136	32.07283443	32.25104676	32.71318928	32.89822038	32.2884538	32.30986587	32.28989057	32.70297693	32.46801943	32.82584253	32.35763384
O00303	EIF3F	Eukaryotic translation initiation factor 3 subunit F	28.96243705	29.74531044	28.49488119	29.00517064	28.75188395	29.81094192	28.90098768	29.14721793	28.74606993	28.97252581	28.6762725	29.14208977	28.52677724
O00308-3;O00308-2;O00308	WWP2	NEDD4-like E3 ubiquitin-protein ligase WWP2	NA	NA	NA	NA	6.239876464	6.133030155	NA	NA	NA	NA	NA	NA	NA
O00330-3;O00330;O00330-2	PDHX	"Pyruvate dehydrogenase protein X component, mitochondrial"	26.37658007	26.45668146	26.23219892	26.92652433	27.27762869	25.96273476	28.14968792	27.40905073	26.86184087	27.03798795	26.67176649	26.22800652	27.25719154
O00338;O00338-2	SULT1C2	Sulfotransferase 1C2	NA	18.97513002	NA	NA	NA	NA	18.32710857	18.49908507	NA	NA	NA	18.97543558	13.56160568
O00339;O00339-3;O00339-4	MATN2	Matrilin-2	29.18196222	29.45604348	28.45897515	29.40369999	29.09633131	27.20462735	28.92926427	29.29078322	26.49505078	28.4751182	29.05168618	28.37096481	28.77090077
O00391-2;O00391	QSOX1	Sulfhydryl oxidase 1	24.96241081	24.51011974	26.022214	26.08840513	24.94887072	26.87013928	25.06374766	24.79353966	25.53100794	24.37902011	24.75233155	26.17905426	23.99010762
O00399	DCTN6	Dynactin subunit 6	27.06227572	25.89121404	26.74175061	25.60025239	27.85957907	28.32311035	27.34531436	27.38281174	27.56846121	26.7406079	26.2021848	25.96498469	25.15864817
O00400	SLC33A1	Acetyl-coenzyme A transporter 1	21.70299976	24.64696708	24.80351127	24.39451922	25.85101719	26.3324953	25.43653268	27.09485188	25.33783947	24.78189646	23.83277651	25.02190703	23.63436647
O00401	WASL	Neural Wiskott-Aldrich syndrome protein	26.70155749	26.02529064	26.53983875	26.05806542	26.39816594	25.19739968	26.12927341	25.69705579	25.99254858	26.33633056	26.48331683	26.06963537	26.46195105
O00410;O00410-3;O00410-2	IPO5	Importin-5	30.35707688	30.43370105	29.63612405	30.16603209	30.23215307	31.0709983	30.04184729	30.25896932	30.53856319	30.28689151	30.18544219	30.18793691	29.90958564
O00411	POLRMT	"DNA-directed RNA polymerase, mitochondrial"	NA	NA	NA	NA	10.30214996	10.64778418	25.72130582	NA	NA	NA	NA	NA	NA
O00422	SAP18	Histone deacetylase complex subunit SAP18	26.64342687	27.50596338	26.28345888	26.90376031	27.28146917	26.4192249	26.36995606	26.83616841	26.73778554	26.43787056	27.06241857	26.14415486	26.39103042
O00423;O00423-3	EML1	Echinoderm microtubule-associated protein-like 1	23.97400699	24.02774563	23.71653992	24.39217981	23.02400821	20.85740178	23.15581862	23.9432914	NA	23.90942621	23.52283628	NA	19.42595761
O00429;O00429-3;O00429-6;O00429-5;O00429-7	DNM1L	Dynamin-1-like protein	29.84809407	29.59361733	29.96770638	29.83676005	30.10585968	29.74126129	29.49819286	30.21247593	29.89220075	29.57981852	29.44280212	29.59323825	29.68627285
O00442;O00442-2	RTCA	RNA 3-terminal phosphate cyclase	27.88358941	27.18988035	28.21413174	27.82479474	27.94704052	29.052056	27.74932458	28.10647821	28.32277087	27.99498732	28.13811809	28.81719082	27.59280877
O00443;O00443-2	PIK3C2A	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha	22.46339513	24.196564	23.58344928	23.91971489	24.33864321	24.11695976	23.69785984	24.06571136	21.27142332	24.69738052	24.49556437	23.38206164	23.98688259
O00458;O00458-2	IFRD1	Interferon-related developmental regulator 1	NA	21.83888048	20.2233009	16.13565392	NA	21.47672469	20.0827559	NA	NA	NA	17.38135295	19.29486784	NA
O00459	PIK3R2	Phosphatidylinositol 3-kinase regulatory subunit beta	14.08441813	15.50190133	14.72696956	15.22999114	NA	16.95529717	15.05851749	14.0412453	NA	NA	17.27506207	15.36445495	20.12043435
