chr	start	end	persistence_left	persistence_right	type	w
chr1	30920000	31440000	16	16	boundary,domain	20
chr1	31440000	31600000	16	18	boundary,domain	20
chr1	31600000	32080000	18	17	boundary,domain	20
chr1	32080000	32360000	17	18		20
chr1	32360000	32880000	18	18		20
chr1	32880000	33120000	18	18	boundary,domain	20
chr1	33120000	33480000	18	11	boundary,domain	20
chr1	33480000	34800000	11	18		20
chr1	34800000	36080000	18	18		20
chr1	36080000	36480000	18	18	boundary,domain	20
chr1	36480000	37440000	18	18	domain	20
chr1	37440000	37720000	18	18	boundary,domain	20
chr1	37720000	38000000	18	18		20
chr1	38000000	38840000	18	18	domain	20
chr1	38840000	39600000	18	18	domain	20
chr1	39600000	39800000	18	18		20
chr1	39800000	40040000	18	18	boundary,domain	20
chr1	40040000	40560000	18	18	boundary,domain	20
chr1	40560000	41000000	18	18	boundary,domain	20
chr1	41000000	41240000	18	18	boundary,domain	20
chr1	41240000	41520000	18	18	boundary,domain	20
chr1	41520000	42800000	18	18	domain	20
chr1	42800000	43160000	18	18	boundary,domain	20
chr1	43160000	44040000	18	18	domain	20
chr1	44040000	44720000	18	18	domain	20
chr1	44720000	45000000	18	2	boundary,domain	20
chr1	45000000	45320000	2	18	domain	20
chr1	45320000	45520000	18	18	boundary,domain	20
chr1	45520000	46840000	18	18	domain	20
chr1	46840000	47160000	18	18	gap	20
chr1	47160000	48080000	18	17		20
chr1	48080000	48240000	17	13	boundary,domain	20
chr1	48240000	48520000	13	18	boundary,domain	20
chr1	48520000	48880000	18	16	domain	20
chr1	48880000	50360000	16	18	domain	20
chr1	50360000	51240000	18	18		20
chr1	51240000	51520000	18	1		20
chr1	51520000	51880000	1	18		20
chr1	51880000	52040000	18	17	boundary,domain	20
chr1	52040000	53240000	17	18	domain	20
chr1	53240000	53400000	18	14		20
chr1	53400000	53840000	14	18	domain	20
chr1	53840000	55040000	18	18	boundary,domain	20
chr1	55040000	56840000	18	18		20
chr1	56840000	58480000	18	15	domain	20
chr1	58480000	58680000	15	18	boundary,domain	20
chr1	58680000	59840000	18	18	domain	20
chr1	59840000	60960000	18	13		20
chr1	60960000	62120000	13	15		20
chr1	62120000	62440000	15	18		20
chr1	62440000	62800000	18	18	domain	20
chr1	62800000	63560000	18	18	domain	20
chr1	63560000	64240000	18	18	domain	20
chr1	64240000	65040000	18	16		20
chr1	65040000	66760000	16	18	boundary,domain	20
chr1	66760000	67200000	18	4	domain	20
chr1	67200000	67520000	4	18	domain	20
chr1	67520000	68440000	18	16		20
chr1	68440000	70080000	16	17	domain	20
chr1	70080000	71080000	17	18	domain	20
chr1	71080000	72280000	18	18	domain	20
chr1	72280000	72360000	18	18	gap	20
chr1	72360000	74800000	18	18	domain	20
chr1	74800000	75200000	18	15		20
chr1	75200000	75840000	15	18	domain	20
chr1	75840000	77120000	18	18	domain	20
chr1	77120000	78000000	18	17	domain	20
chr1	78000000	78120000	17	16	boundary,domain	20
chr1	78120000	78720000	16	18	domain	20
chr1	78720000	83120000	18	18		20
chr1	83120000	83480000	18	18	gap	20
chr1	83480000	85280000	18	18		20
chr1	85280000	86360000	18	18	domain	20
chr1	86360000	86720000	18	16	domain	20
chr1	86720000	87120000	16	18	domain	20
chr1	87120000	89400000	18	18	domain	20
chr1	89400000	89440000	18	18	gap	20
chr1	89440000	91400000	18	18		20
chr1	91400000	91920000	18	18	domain	20
chr1	91920000	92840000	18	17		20
chr1	92840000	93000000	17	13	boundary,domain	20
chr1	93000000	93880000	13	18		20
chr1	93880000	94480000	18	18	domain	20
chr1	94480000	94840000	18	18	domain	20
chr1	94840000	95080000	18	18	boundary,domain	20
chr1	95080000	95240000	18	18	boundary,domain	20
chr1	95240000	98560000	18	18	domain	20
chr1	98560000	99760000	18	18	domain	20
chr1	99760000	100880000	18	18	domain	20
chr1	100880000	101400000	18	18	domain	20
chr1	101400000	103600000	18	18	domain	20
chr1	103600000	103880000	18	18	gap	20
chr1	103880000	105960000	18	17	boundary,domain	20
chr1	105960000	107200000	17	18	domain	20
chr1	107200000	108200000	18	18	domain	20
chr1	108200000	108480000	18	18	gap	20
chr1	108480000	109680000	18	18	domain	20
chr1	109680000	109720000	18	18	gap	20
chr1	109720000	111160000	18	17	domain	20
chr1	111160000	111440000	17	18	boundary,domain	20
chr1	111440000	112360000	18	18	domain	20
chr1	112360000	112720000	18	18	boundary,domain	20
chr1	112720000	113080000	18	18	boundary,domain	20
chr1	113080000	113800000	18	14	domain	20
chr1	113800000	114920000	14	3	domain	20
chr1	114920000	115600000	3	18	domain	20
chr1	115600000	116600000	18	18		20
chr1	116600000	116640000	18	18	gap	20
chr1	116640000	117960000	18	18	domain	20
chr1	117960000	119960000	18	18	domain	20
chr1	119960000	143520000	18	18	gap	20
chr1	143520000	143760000	18	18	domain	20
chr1	143760000	145840000	18	18	gap	20
chr1	145840000	146040000	18	18	domain	20
chr1	146040000	147040000	18	18	gap	20
chr1	147040000	147920000	18	18	domain	20
chr1	147920000	149880000	18	18	gap	20
chr1	149880000	151200000	18	18		20
chr1	151200000	152560000	18	18		20
chr1	152560000	152640000	18	18	gap	20
chr1	152640000	153640000	18	18		20
chr1	153640000	154000000	18	15	boundary,domain	20
chr1	154000000	154280000	15	17	boundary,domain	20
chr1	154280000	155200000	17	18		20
chr1	155200000	156080000	18	18		20
chr1	156080000	156320000	18	18		20
chr1	156320000	156720000	18	18		20
chr1	156720000	156960000	18	15		20
chr1	156960000	157520000	15	18	boundary,domain	20
chr1	157520000	159080000	18	18	domain	20
chr1	159080000	160040000	18	18		20
chr1	160040000	160400000	18	18	boundary,domain	20
chr1	160400000	161440000	18	18		20
chr1	161440000	161680000	18	18	gap	20
chr1	161680000	162800000	18	18		20
chr1	162800000	163360000	18	18	domain	20
chr1	163360000	165120000	18	18	domain	20
chr1	165120000	165360000	18	16		20
chr1	165360000	165600000	16	18	boundary,domain	20
chr1	165600000	165920000	18	18	boundary,domain	20
chr1	165920000	166840000	18	18		20
chr1	166840000	167040000	18	13		20
chr1	167040000	167560000	13	17	boundary,domain	20
chr1	167560000	167720000	17	18	boundary,domain	20
chr1	167720000	168120000	18	8		20
chr1	168120000	169240000	8	18	domain	20
chr1	169240000	169280000	18	18	gap	20
chr1	169280000	170960000	18	18	domain	20
chr1	170960000	171480000	18	18	boundary,domain	20
chr1	171480000	172440000	18	13		20
chr1	172440000	172720000	13	18	boundary,domain	20
chr1	172720000	174240000	18	18	domain	20
chr1	174240000	175000000	18	18		20
chr1	175000000	177960000	18	18		20
chr1	177960000	178280000	18	10		20
chr1	178280000	179040000	10	18	domain	20
chr1	179040000	179680000	18	18	domain	20
chr1	179680000	179840000	18	18	boundary,domain	20
chr1	179840000	180200000	18	18	boundary,domain	20
chr1	180200000	180480000	18	18	boundary,domain	20
chr1	180480000	181160000	18	18	domain	20
chr1	181160000	181440000	18	18	boundary,domain	20
chr1	181440000	182080000	18	18	domain	20
chr1	182080000	182440000	18	9	domain	20
chr1	182440000	182600000	9	10	boundary,domain	20
chr1	182600000	182840000	10	18	boundary,domain	20
chr1	182840000	183280000	18	7	domain	20
chr1	183280000	183640000	7	18	domain	20
chr1	183640000	183960000	18	13		20
chr1	183960000	184720000	13	18	domain	20
chr1	184720000	185000000	18	12	boundary,domain	20
chr1	185000000	185160000	12	16	boundary,domain	20
chr1	185160000	186320000	16	18	domain	20
chr1	186320000	187040000	18	18	domain	20
chr1	187040000	192440000	18	18		20
chr1	192440000	193080000	18	18	domain	20
chr1	193080000	195760000	18	6		20
chr1	195760000	196760000	6	18		20
chr1	196760000	196960000	18	18	gap	20
chr1	196960000	197680000	18	18	domain	20
chr1	197680000	197720000	18	18	gap	20
chr1	197720000	198720000	18	18	domain	20
chr1	198720000	199640000	18	13		20
chr1	199640000	200560000	13	18	domain	20
chr1	200560000	200880000	18	17	boundary,domain	20
chr1	200880000	201240000	17	18	boundary,domain	20
chr1	201240000	201440000	18	18	boundary,domain	20
chr1	201440000	201840000	18	18	boundary,domain	20
chr1	201840000	202160000	18	18	boundary,domain	20
chr1	202160000	202320000	18	16	boundary,domain	20
chr1	202320000	203000000	16	18		20
chr1	203000000	203240000	18	15	boundary,domain	20
chr1	203240000	203480000	15	13	domain	20
chr1	203480000	203800000	13	18	domain	20
chr1	203800000	204400000	18	18	domain	20
chr1	204400000	204520000	18	18	boundary,domain	20
chr1	204520000	205320000	18	14	domain	20
chr1	205320000	206160000	14	18		20
chr1	206160000	206400000	18	18	gap	20
chr1	206400000	207520000	18	18	domain	20
chr1	207520000	207560000	18	18	gap	20
chr1	207560000	209560000	18	18	domain	20
chr1	209560000	209840000	18	18	boundary,domain	20
chr1	209840000	210000000	18	14	boundary,domain	20
chr1	210000000	210320000	14	17	boundary,domain	20
chr1	210320000	211280000	17	15		20
chr1	211280000	212480000	15	18		20
chr1	212480000	213080000	18	17		20
chr1	213080000	214200000	17	18	domain	20
chr1	214200000	214640000	18	18	boundary,domain	20
chr1	214640000	215640000	18	18		20
chr1	215640000	218280000	18	18	domain	20
chr1	218280000	219840000	18	18		20
chr1	219840000	220800000	18	17		20
chr1	220800000	222480000	17	18	domain	20
chr1	222480000	222520000	18	18	gap	20
chr1	222520000	223560000	18	18	domain	20
chr1	223560000	223600000	18	18	gap	20
chr1	223600000	223880000	18	18	domain	20
chr1	223880000	224040000	18	18	gap	20
chr1	224040000	225440000	18	18	domain	20
chr1	225440000	226120000	18	8		20
chr1	226120000	226400000	8	18		20
chr1	226400000	227960000	18	18		20
chr1	227960000	228000000	18	18	gap	20
chr1	228000000	228560000	18	18	domain	20
chr1	228560000	228640000	18	18	gap	20
chr1	228640000	229520000	18	12		20
chr1	229520000	230360000	12	17	domain	20
chr1	230360000	230600000	17	11	boundary,domain	20
chr1	230600000	231320000	11	10		20
chr1	231320000	231640000	10	18	boundary,domain	20
chr1	231640000	233280000	18	18	domain	20
chr1	233280000	234800000	18	18	domain	20
chr1	234800000	234840000	18	18	gap	20
chr1	234840000	236080000	18	18	domain	20
chr1	236080000	236600000	18	18	domain	20
chr1	236600000	237680000	18	18		20
chr1	237680000	240000000	18	17	boundary,domain	20
chr1	240000000	241520000	17	16	boundary,domain	20
chr1	241520000	242240000	16	18	domain	20
chr1	242240000	242360000	18	18	gap	20
chr1	242360000	242880000	18	18	domain	20
chr1	242880000	243200000	18	18	gap	20
chr1	243200000	244440000	18	14		20
chr1	244440000	244800000	14	6		20
chr1	244800000	245080000	6	18	boundary,domain	20
chr1	245080000	246480000	18	18	domain	20
chr1	246480000	246760000	18	18	boundary,domain	20
chr1	246760000	248160000	18	18		20
chr1	248160000	248680000	18	18	gap	20
chr1	248680000	248956422	18	18	domain	20
chr10	0	80000	18	18	gap	20
chr10	80000	1080000	18	18	domain	20
chr10	1080000	3160000	18	18		20
chr10	3160000	4960000	18	18	domain	20
chr10	4960000	5000000	18	18	gap	20
chr10	5000000	6080000	18	16		20
chr10	6080000	6440000	16	18	boundary,domain	20
chr10	6440000	7480000	18	18		20
chr10	7480000	7840000	18	18		20
chr10	7840000	9320000	18	18	domain	20
chr10	9320000	11480000	18	18	domain	20
chr10	11480000	11760000	18	18	boundary,domain	20
chr10	11760000	12040000	18	8	boundary,domain	20
chr10	12040000	13120000	8	17		20
chr10	13120000	13320000	17	15	boundary,domain	20
chr10	13320000	13600000	15	18	boundary,domain	20
chr10	13600000	14480000	18	18		20
chr10	14480000	15160000	18	18	domain	20
chr10	15160000	15400000	18	18	boundary,domain	20
chr10	15400000	15840000	18	18	domain	20
chr10	15840000	16800000	18	18	domain	20
chr10	16800000	17600000	18	17		20
chr10	17600000	18680000	17	18		20
chr10	18680000	20840000	18	18	domain	20
chr10	20840000	21960000	18	18	domain	20
chr10	21960000	23120000	18	18	domain	20
chr10	23120000	24560000	18	18	domain	20
chr10	24560000	25560000	18	8		20
chr10	25560000	26640000	8	18	domain	20
chr10	26640000	27040000	18	18	gap	20
chr10	27040000	27280000	18	18	domain	20
chr10	27280000	27360000	18	18	gap	20
chr10	27360000	28440000	18	18	domain	20
chr10	28440000	28600000	18	18	boundary	20
chr10	28600000	29360000	18	18	domain	20
chr10	29360000	29960000	18	18	domain	20
chr10	29960000	30360000	18	18	domain	20
chr10	30360000	30680000	18	17		20
chr10	30680000	31840000	17	18	domain	20
chr10	31840000	32400000	18	18		20
chr10	32400000	33160000	18	17	domain	20
chr10	33160000	34680000	17	18	domain	20
chr10	34680000	35040000	18	17		20
chr10	35040000	35600000	17	18	domain	20
chr10	35600000	37080000	18	18	domain	20
chr10	37080000	37200000	18	18	gap	20
chr10	37200000	38200000	18	18	domain	20
chr10	38200000	42440000	18	18	gap	20
chr10	42440000	43640000	18	18	domain	20
chr10	43640000	45680000	18	18	domain	20
chr10	45680000	47000000	18	18	gap	20
chr10	47000000	47440000	18	18	domain	20
chr10	47440000	48200000	18	18	gap	20
chr10	48200000	49840000	18	18	domain	20
chr10	49840000	50200000	18	18	gap	20
chr10	50200000	50680000	18	18	domain	20
chr10	50680000	50800000	18	18	gap	20
chr10	50800000	52600000	18	12		20
chr10	52600000	52800000	12	18	boundary,domain	20
chr10	52800000	55760000	18	18	domain	20
chr10	55760000	55800000	18	18	gap	20
chr10	55800000	58160000	18	18	domain	20
chr10	58160000	59600000	18	18		20
chr10	59600000	59840000	18	8		20
chr10	59840000	60080000	8	17	boundary,domain	20
chr10	60080000	60440000	17	4	domain	20
chr10	60440000	60800000	4	18	boundary,domain	20
chr10	60800000	62280000	18	18	domain	20
chr10	62280000	63160000	18	18	domain	20
chr10	63160000	63840000	18	18	domain	20
chr10	63840000	67200000	18	18	domain	20
chr10	67200000	67400000	18	18	gap	20
chr10	67400000	68320000	18	18	boundary,domain	20
chr10	68320000	68760000	18	16	boundary,domain	20
chr10	68760000	68960000	16	18		20
chr10	68960000	69200000	18	18		20
chr10	69200000	69400000	18	17	boundary,domain	20
chr10	69400000	69960000	17	17		20
chr10	69960000	70160000	17	14	boundary,domain	20
chr10	70160000	70400000	14	18	boundary,domain	20
chr10	70400000	71280000	18	18	domain	20
chr10	71280000	71880000	18	18	domain	20
chr10	71880000	72360000	18	18		20
chr10	72360000	73680000	18	18	domain	20
chr10	73680000	73720000	18	18	gap	20
chr10	73720000	75240000	18	17		20
chr10	75240000	77120000	17	18	domain	20
chr10	77120000	77800000	18	17	domain	20
chr10	77800000	78040000	17	18		20
chr10	78040000	79520000	18	18	domain	20
chr10	79520000	79920000	18	18	gap	20
chr10	79920000	80200000	18	18	domain	20
chr10	80200000	80240000	18	18	gap	20
chr10	80240000	84120000	18	18	domain	20
chr10	84120000	84560000	18	18	boundary,domain	20
chr10	84560000	87000000	18	18		20
chr10	87000000	87560000	18	18	gap	20
chr10	87560000	87800000	18	18	domain	20
chr10	87800000	88760000	18	18	gap	20
chr10	88760000	89040000	18	18	domain	20
chr10	89040000	89080000	18	18	gap	20
chr10	89080000	91400000	18	18	domain	20
chr10	91400000	91520000	18	18	gap	20
chr10	91520000	91800000	18	18	domain	20
chr10	91800000	91880000	18	18	gap	20
chr10	91880000	93520000	18	18	domain	20
chr10	93520000	93680000	18	13	boundary,domain	20
chr10	93680000	94520000	13	18		20
chr10	94520000	95640000	18	18	domain	20
chr10	95640000	95920000	18	14	boundary,domain	20
chr10	95920000	96360000	14	18	boundary,domain	20
chr10	96360000	97400000	18	18	boundary,domain	20
chr10	97400000	97720000	18	18	boundary,domain	20
chr10	97720000	99360000	18	17	domain	20
chr10	99360000	99640000	17	16		20
chr10	99640000	100240000	16	18		20
chr10	100240000	100520000	18	18		20
chr10	100520000	101000000	18	18		20
chr10	101000000	101840000	18	18	domain	20
chr10	101840000	102120000	18	18		20
chr10	102120000	102640000	18	18	boundary,domain	20
chr10	102640000	103360000	18	18	boundary,domain	20
chr10	103360000	103880000	18	8	boundary,domain	20
chr10	103880000	104360000	8	18		20
chr10	104360000	106560000	18	18	domain	20
chr10	106560000	109880000	18	18	domain	20
chr10	109880000	110120000	18	13	boundary,domain	20
chr10	110120000	110280000	13	18	boundary,domain	20
chr10	110280000	110600000	18	18	boundary,domain	20
chr10	110600000	112440000	18	18		20
chr10	112440000	113680000	18	18	domain	20
chr10	113680000	114280000	18	17		20
chr10	114280000	115160000	17	18		20
chr10	115160000	116440000	18	18	domain	20
chr10	116440000	117200000	18	13		20
chr10	117200000	117360000	13	17	boundary,domain	20
chr10	117360000	118560000	17	18		20
chr10	118560000	119040000	18	18	domain	20
chr10	119040000	119600000	18	18		20
chr10	119600000	119920000	18	18	boundary,domain	20
chr10	119920000	120880000	18	18	domain	20
chr10	120880000	121920000	18	18		20
chr10	121920000	122120000	18	18	boundary,domain	20
chr10	122120000	122600000	18	18	boundary,domain	20
chr10	122600000	123000000	18	17		20
chr10	123000000	124000000	17	13	domain	20
chr10	124000000	124440000	13	18	domain	20
chr10	124440000	124840000	18	10	boundary,domain	20
chr10	124840000	125840000	10	18		20
chr10	125840000	127880000	18	18		20
chr10	127880000	128200000	18	18	boundary,domain	20
chr10	128200000	129000000	18	18	domain	20
chr10	129000000	130160000	18	18	domain	20
chr10	130160000	131880000	18	18	domain	20
chr10	131880000	132160000	18	18		20
chr10	132160000	132360000	18	9	boundary,domain	20
chr10	132360000	133600000	9	18	domain	20
chr10	133600000	133797422	18	18	gap	20
chr11	40000	200000	18	18	gap	20
chr11	200000	1080000	18	16		20
chr11	1080000	1920000	16	18	domain	20
chr11	1920000	2080000	18	18	gap	20
chr11	2080000	3240000	18	18	domain	20
chr11	3240000	3600000	18	18	gap	20
chr11	3600000	4200000	18	18	domain	20
chr11	4200000	4360000	18	18	gap	20
chr11	4360000	5960000	18	18	domain	20
chr11	5960000	6760000	18	18		20
chr11	6760000	8000000	18	17		20
chr11	8000000	8640000	17	18		20
chr11	8640000	8960000	18	18	boundary,domain	20
chr11	8960000	9160000	18	9	boundary,domain	20
chr11	9160000	9520000	9	5	boundary,domain	20
chr11	9520000	9600000	5	15	boundary,domain	20
chr11	9600000	10400000	15	18		20
chr11	10400000	10760000	18	18	boundary,domain	20
chr11	10760000	12040000	18	11	boundary,domain	20
chr11	12040000	12320000	11	18		20
chr11	12320000	12960000	18	18	domain	20
chr11	12960000	13200000	18	11	domain	20
chr11	13200000	13440000	11	8		20
chr11	13440000	14280000	8	18		20
chr11	14280000	14480000	18	18	boundary,domain	20
chr11	14480000	14920000	18	18	domain	20
chr11	14920000	15280000	18	18	boundary,domain	20
chr11	15280000	16680000	18	18	domain	20
chr11	16680000	17200000	18	13		20
chr11	17200000	17520000	13	18	boundary,domain	20
chr11	17520000	18880000	18	16	domain	20
chr11	18880000	20360000	16	18		20
chr11	20360000	20640000	18	18	boundary,domain	20
chr11	20640000	22160000	18	18	domain	20
chr11	22160000	22840000	18	18	domain	20
chr11	22840000	24400000	18	17	domain	20
chr11	24400000	25960000	17	13	domain	20
chr11	25960000	26280000	13	18	domain	20
chr11	26280000	27200000	18	15	domain	20
chr11	27200000	27520000	15	18		20
chr11	27520000	29400000	18	18	domain	20
chr11	29400000	30920000	18	18	domain	20
chr11	30920000	32280000	18	18	boundary,domain	20
chr11	32280000	32800000	18	13	domain	20
chr11	32800000	33160000	13	15	boundary,domain	20
chr11	33160000	33800000	15	18		20
chr11	33800000	34000000	18	15	boundary,domain	20
chr11	34000000	34520000	15	18	domain	20
chr11	34520000	34920000	18	18	domain	20
chr11	34920000	35480000	18	18	domain	20
chr11	35480000	36520000	18	18		20
chr11	36520000	36680000	18	4		20
chr11	36680000	38800000	4	18	domain	20
chr11	38800000	40320000	18	18	domain	20
chr11	40320000	43320000	18	18	domain	20
chr11	43320000	43880000	18	17	boundary,domain	20
chr11	43880000	44040000	17	18		20
chr11	44040000	45840000	18	18	domain	20
chr11	45840000	48360000	18	18		20
chr11	48360000	50160000	18	18	gap	20
chr11	50160000	50320000	18	18	domain	20
chr11	50320000	55320000	18	18	gap	20
chr11	55320000	56840000	18	18	domain	20
chr11	56840000	57320000	18	18		20
chr11	57320000	57680000	18	17	boundary,domain	20
chr11	57680000	58560000	17	18		20
chr11	58560000	59160000	18	18	domain	20
chr11	59160000	60240000	18	18		20
chr11	60240000	61200000	18	18	domain	20
chr11	61200000	61240000	18	18	gap	20
chr11	61240000	62360000	18	18	boundary,domain	20
chr11	62360000	62880000	18	18	boundary,domain	20
chr11	62880000	63760000	18	17		20
chr11	63760000	64000000	17	18		20
chr11	64000000	64240000	18	10		20
chr11	64240000	64320000	10	18		20
chr11	64320000	64760000	18	18	boundary,domain	20
chr11	64760000	65120000	18	12	boundary,domain	20
chr11	65120000	65600000	12	18	boundary,domain	20
chr11	65600000	66040000	18	16	boundary,domain	20
chr11	66040000	66280000	16	18	boundary,domain	20
chr11	66280000	66680000	18	6	boundary,domain	20
chr11	66680000	67720000	6	18	domain	20
chr11	67720000	67960000	18	18	gap	20
chr11	67960000	69080000	18	18		20
chr11	69080000	70240000	18	18	domain	20
chr11	70240000	70960000	18	18	domain	20
chr11	70960000	71040000	18	18	gap	20
chr11	71040000	71600000	18	18	domain	20
chr11	71600000	71880000	18	18	gap	20
chr11	71880000	72680000	18	18		20
chr11	72680000	73320000	18	18		20
chr11	73320000	73760000	18	11		20
chr11	73760000	74600000	11	18		20
chr11	74600000	74760000	18	16	boundary,domain	20
chr11	74760000	74880000	16	3		20
chr11	74880000	75280000	3	17	boundary,domain	20
chr11	75280000	75400000	17	18	boundary,domain	20
chr11	75400000	76720000	18	18	boundary,domain	20
chr11	76720000	77920000	18	18		20
chr11	77920000	77960000	18	18	gap	20
chr11	77960000	79680000	18	18	domain	20
chr11	79680000	81280000	18	13	domain	20
chr11	81280000	82720000	13	18		20
chr11	82720000	84520000	18	15		20
chr11	84520000	84720000	15	6		20
chr11	84720000	85600000	6	18	domain	20
chr11	85600000	86320000	18	17		20
chr11	86320000	86880000	17	18	domain	20
chr11	86880000	87960000	18	18	domain	20
chr11	87960000	88000000	18	18	gap	20
chr11	88000000	88840000	18	18	domain	20
chr11	88840000	90120000	18	18	gap	20
chr11	90120000	92920000	18	17	domain	20
chr11	92920000	93200000	17	18	boundary,domain	20
chr11	93200000	93800000	18	18	domain	20
chr11	93800000	94480000	18	18	domain	20
chr11	94480000	94600000	18	4		20
chr11	94600000	94960000	4	6	boundary,domain	20
chr11	94960000	95800000	6	18		20
chr11	95800000	96440000	18	18	domain	20
chr11	96440000	99000000	18	18	domain	20
chr11	99000000	100560000	18	18	domain	20
chr11	100560000	100960000	18	18	domain	20
chr11	100960000	102040000	18	18		20
chr11	102040000	102280000	18	18	boundary,domain	20
chr11	102280000	102720000	18	18	domain	20
chr11	102720000	103080000	18	18	boundary,domain	20
chr11	103080000	106040000	18	15		20
chr11	106040000	107360000	15	18		20
chr11	107360000	107400000	18	18	gap	20
chr11	107400000	108680000	18	18	domain	20
chr11	108680000	109920000	18	18	domain	20
chr11	109920000	110160000	18	5	boundary,domain	20
chr11	110160000	110400000	5	18		20
chr11	110400000	111280000	18	18	domain	20
chr11	111280000	111560000	18	17	boundary,domain	20
chr11	111560000	112080000	17	18	boundary,domain	20
chr11	112080000	114640000	18	18	domain	20
chr11	114640000	116720000	18	18	domain	20
chr11	116720000	117320000	18	18	domain	20
chr11	117320000	118120000	18	18	domain	20
chr11	118120000	118360000	18	18	boundary,domain	20
chr11	118360000	118560000	18	18	boundary,domain	20
chr11	118560000	119080000	18	18	boundary,domain	20
chr11	119080000	119360000	18	18	boundary,domain	20
chr11	119360000	120320000	18	18		20
chr11	120320000	121240000	18	18		20
chr11	121240000	121640000	18	18	boundary,domain	20
chr11	121640000	122600000	18	18	domain	20
chr11	122600000	122880000	18	13		20
chr11	122880000	123080000	13	18	boundary,domain	20
chr11	123080000	123280000	18	16	boundary,domain	20
chr11	123280000	123600000	16	14	boundary,domain	20
chr11	123600000	123760000	14	18	boundary,domain	20
chr11	123760000	124360000	18	16	boundary,domain	20
chr11	124360000	124600000	16	18	boundary,domain	20
chr11	124600000	124960000	18	18		20
chr11	124960000	125880000	18	18	domain	20
chr11	125880000	126280000	18	17	domain	20
chr11	126280000	127360000	17	17		20
chr11	127360000	128000000	17	18	domain	20
chr11	128000000	128880000	18	18		20
chr11	128880000	128960000	18	8		20
chr11	128960000	129880000	8	8		20
chr11	129880000	130200000	8	18	boundary,domain	20
chr11	130200000	130920000	18	18		20
chr11	130920000	131760000	18	18	domain	20
chr11	131760000	133040000	18	18	domain	20
chr11	133040000	133920000	18	18	domain	20
chr11	133920000	134160000	18	18		20
chr11	134160000	135080000	18	18	domain	20
chr12	0	40000	18	18	gap	20
chr12	40000	560000	18	8	boundary,domain	20
chr12	560000	800000	8	4	domain	20
chr12	800000	960000	4	15	boundary,domain	20
chr12	960000	1640000	15	18		20
chr12	1640000	2000000	18	13		20
chr12	2000000	2800000	13	12	domain	20
chr12	2800000	3040000	12	18	boundary,domain	20
chr12	3040000	3280000	18	18	boundary,domain	20
chr12	3280000	3880000	18	18	domain	20
chr12	3880000	4800000	18	18	domain	20
chr12	4800000	5000000	18	11	boundary,domain	20
chr12	5000000	6200000	11	9		20
chr12	6200000	6320000	9	18		20
chr12	6320000	6480000	18	15	boundary,domain	20
chr12	6480000	7160000	15	18		20
chr12	7160000	8160000	18	18	domain	20
chr12	8160000	8440000	18	18	gap	20
chr12	8440000	9280000	18	18	domain	20
chr12	9280000	9600000	18	18	gap	20
chr12	9600000	9960000	18	18	domain	20
chr12	9960000	10000000	18	18	gap	20
chr12	10000000	10360000	18	18	domain	20
chr12	10360000	10520000	18	18	gap	20
chr12	10520000	11000000	18	18	domain	20
chr12	11000000	11400000	18	18	gap	20
chr12	11400000	12400000	18	18	domain	20
chr12	12400000	12440000	18	18	gap	20
