chr	start_TSS	end_TSS	name	score	strand	Ensembl_ID	start_TAD	end_TAD	w_TAD	order_lower_TAD	order_upper_TAD	Fraction
chr1	11012661	11012662	AL109811.3	.	+	ENSG00000277726.4	11000000	11240000	8	28	17	0.0527541666666667
chr1	11047238	11047239	MASP2	.	-	ENSG00000009724.17	11000000	11240000	8	28	17	0.196829166666667
chr1	11060019	11060020	SRM	.	-	ENSG00000116649.10	11000000	11240000	8	28	17	0.250083333333333
chr1	11099868	11099869	EXOSC10	.	-	ENSG00000171824.14	11000000	11240000	8	28	17	0.416120833333333
chr1	11189354	11189355	ANGPTL7	.	+	ENSG00000171819.5	11000000	11240000	8	28	17	0.211025
chr1	11262550	11262551	MTOR	.	-	ENSG00000198793.13	11000000	11280000	3	28	5	0.0623178571428571
chr1	11273205	11273206	UBIAD1	.	+	ENSG00000120942.13	11000000	11280000	3	28	5	0.0242678571428571
chr1	11479154	11479155	DISP3	.	+	ENSG00000204624.8	11280000	11640000	3	5	6	0.446794444444444
chr1	11654374	11654375	FBXO44	.	+	ENSG00000132879.14	11640000	11800000	3	6	22	0.0898375
chr1	11655784	11655785	FBXO2	.	-	ENSG00000116661.11	11640000	11800000	3	6	22	0.09865625
chr1	11664199	11664200	FBXO6	.	+	ENSG00000116663.11	11640000	11800000	3	6	22	0.15124375
chr1	11691649	11691650	MAD2L2	.	-	ENSG00000116670.15	11640000	11800000	3	6	22	0.3228125
chr1	11691709	11691710	DRAXIN	.	+	ENSG00000162490.7	11640000	11800000	3	6	22	0.32318125
chr1	11736083	11736084	AGTRAP	.	+	ENSG00000177674.16	11640000	11800000	3	6	22	0.39948125
chr1	11761786	11761787	C1orf167	.	+	ENSG00000215910.7	11640000	11800000	3	6	22	0.2388375
chr1	11806095	11806096	CLCN6	.	+	ENSG00000011021.23	11800000	12000000	8	22	11	0.030475
chr1	11806454	11806455	MTHFR	.	-	ENSG00000177000.13	11800000	12000000	8	22	11	0.032275
chr1	11848344	11848345	NPPA	.	-	ENSG00000175206.10	11800000	12000000	8	22	11	0.241725
chr1	11858944	11858945	NPPB	.	-	ENSG00000120937.9	11800000	12000000	8	22	11	0.294725
chr1	11926427	11926428	KIAA2013	.	-	ENSG00000116685.16	11800000	12000000	8	22	11	0.36786
chr1	11934204	11934205	PLOD1	.	+	ENSG00000083444.17	11800000	12000000	8	22	11	0.32898
chr1	11980180	11980181	MFN2	.	+	ENSG00000116688.17	11800000	12000000	8	22	11	0.0991
chr1	12019465	12019466	MIIP	.	+	ENSG00000116691.11	12000000	12240000	8	11	7	0.0811041666666666
chr1	12063302	12063303	TNFRSF8	.	+	ENSG00000120949.15	11800000	12080000	5	22	2	0.0596357142857143
chr1	12166990	12166991	TNFRSF1B	.	+	ENSG00000028137.19	12080000	12240000	5	2	7	0.4563125
chr1	12230029	12230030	VPS13D	.	+	ENSG00000048707.15	12080000	12240000	5	2	7	0.06231875
chr1	12618209	12618210	DHRS3	.	-	ENSG00000162496.9	12280000	12840000	4	1	28	0.396053571428571
chr1	12644546	12644547	AADACL4	.	+	ENSG00000204518.2	12280000	12840000	4	1	28	0.349025
chr1	12716109	12716110	AADACL3	.	+	ENSG00000188984.12	12280000	12840000	4	1	28	0.221233928571429
chr1	12746199	12746200	C1orf158	.	+	ENSG00000157330.10	12280000	12840000	4	1	28	0.167501785714286
chr1	12774840	12774841	PRAMEF12	.	+	ENSG00000116726.4	12280000	12840000	4	1	28	0.116357142857143
chr1	12791396	12791397	PRAMEF1	.	+	ENSG00000116721.9	12280000	12840000	4	1	28	0.0867928571428571
chr1	12831409	12831410	PRAMEF11	.	-	ENSG00000239810.3	12280000	12840000	4	1	28	0.0153392857142857
chr1	12848724	12848725	HNRNPCL1	.	-	ENSG00000179172.9	12840000	13360000	3	28	28	0.0167788461538462
chr1	12857085	12857086	PRAMEF2	.	+	ENSG00000120952.4	12840000	13360000	3	28	28	0.0328557692307692
chr1	12886200	12886201	PRAMEF4	.	-	ENSG00000243073.4	12840000	13360000	3	28	28	0.0888480769230769
chr1	12898269	12898270	PRAMEF10	.	-	ENSG00000187545.5	12840000	13360000	3	28	28	0.112057692307692
chr1	12916609	12916610	PRAMEF7	.	+	ENSG00000204510.5	12840000	13360000	3	28	28	0.147325
chr1	12947579	12947580	PRAMEF6	.	-	ENSG00000232423.6	12840000	13360000	3	28	28	0.206884615384615
chr1	13056490	13056491	PRAMEF27	.	-	ENSG00000274764.5	12840000	13360000	3	28	28	0.416328846153846
chr1	13060868	13060869	HNRNPCL3	.	+	ENSG00000277058.2	12840000	13360000	3	28	28	0.424746153846154
chr1	13068676	13068677	PRAMEF25	.	+	ENSG00000229571.7	12840000	13360000	3	28	28	0.439761538461539
chr1	13116853	13116854	HNRNPCL2	.	-	ENSG00000275774.3	12840000	13360000	3	28	28	0.467588461538462
chr1	13155960	13155961	PRAMEF26	.	-	ENSG00000280267.4	12840000	13360000	3	28	28	0.392382692307692
chr1	13165466	13165467	HNRNPCL4	.	-	ENSG00000179412.10	12840000	13360000	3	28	28	0.374101923076923
chr1	13172454	13172455	PRAMEF9	.	+	ENSG00000204505.4	12840000	13360000	3	28	28	0.360665384615385
chr1	13201408	13201409	PRAMEF13	.	-	ENSG00000279169.3	12840000	13360000	3	28	28	0.304982692307692
chr1	13226105	13226106	PRAMEF18	.	-	ENSG00000279804.2	12840000	13360000	3	28	28	0.257488461538462
chr1	13254211	13254212	PRAMEF5	.	+	ENSG00000270601.4	12840000	13360000	3	28	28	0.203440384615385
chr1	13285173	13285174	PRAMEF8	.	-	ENSG00000182330.10	12840000	13360000	3	28	28	0.143896153846154
chr1	13303538	13303539	PRAMEF33	.	+	ENSG00000237700.2	12840000	13360000	3	28	28	0.108580769230769
chr1	13315580	13315581	PRAMEF15	.	+	ENSG00000204501.7	12840000	13360000	3	28	28	0.0854230769230769
chr1	13347133	13347134	PRAMEF14	.	-	ENSG00000204481.8	12840000	13360000	3	28	28	0.0247423076923077
chr1	13371899	13371900	PRAMEF19	.	-	ENSG00000204480.8	13360000	13640000	3	28	2	0.0425
chr1	13389631	13389632	PRAMEF17	.	+	ENSG00000204479.4	13360000	13640000	3	28	2	0.105825
chr1	13410449	13410450	PRAMEF20	.	+	ENSG00000204478.9	13360000	13640000	3	28	2	0.180175
chr1	13514002	13514003	LRRC38	.	-	ENSG00000162494.6	13360000	13640000	3	28	2	0.449989285714286
chr1	13583464	13583465	PDPN	.	+	ENSG00000162493.16	13360000	13640000	3	28	2	0.201914285714286
chr1	13700197	13700198	PRDM2	.	+	ENSG00000116731.22	13640000	13840000	3	2	1	0.300985
chr1	13892791	13892792	KAZN	.	+	ENSG00000189337.17	13840000	14000000	3	1	13	0.32994375
chr1	15152531	15152532	TMEM51	.	+	ENSG00000171729.14	15120000	15320000	3	23	23	0.162655
chr1	15247271	15247272	FHAD1	.	+	ENSG00000142621.19	15120000	15320000	3	23	23	0.363645
chr1	15409887	15409888	EFHD2	.	+	ENSG00000142634.13	15320000	15520000	3	23	21	0.449435
chr1	15438441	15438442	CTRC	.	+	ENSG00000162438.12	15320000	15520000	3	23	21	0.407795
chr1	15456727	15456728	CELA2A	.	+	ENSG00000142615.8	15320000	15520000	3	23	21	0.316365
chr1	15465908	15465909	CELA2B	.	+	ENSG00000215704.10	15320000	15520000	3	23	21	0.27046
chr1	15526533	15526534	CASP9	.	-	ENSG00000132906.18	15520000	15760000	3	21	14	0.027225
chr1	15526812	15526813	DNAJC16	.	+	ENSG00000116138.13	15520000	15760000	3	21	14	0.0283833333333333
chr1	15585050	15585051	AGMAT	.	-	ENSG00000116771.6	15520000	15760000	3	21	14	0.271045833333333
chr1	15617457	15617458	DDI2	.	+	ENSG00000197312.12	15520000	15760000	3	21	14	0.406070833333333
chr1	15659868	15659869	RSC1A1	.	+	ENSG00000215695.1	15520000	15760000	3	21	14	0.417216666666667
chr1	15684319	15684320	PLEKHM2	.	+	ENSG00000116786.13	15520000	15760000	3	21	14	0.3153375
chr1	15736257	15736258	SLC25A34	.	+	ENSG00000162461.8	15520000	15760000	3	21	14	0.0989291666666667
chr1	15742498	15742499	TMEM82	.	+	ENSG00000162460.7	15520000	15760000	3	21	14	0.072925
chr1	15756606	15756607	FBLIM1	.	+	ENSG00000162458.13	15520000	15760000	3	21	14	0.0141416666666667
chr1	15809347	15809348	UQCRHL	.	-	ENSG00000233954.6	15760000	16000000	3	14	2	0.205616666666667
chr1	15836094	15836095	SPEN	.	+	ENSG00000065526.12	15760000	16000000	3	14	2	0.317058333333333
chr1	15976131	15976132	ZBTB17	.	-	ENSG00000116809.11	15760000	16000000	3	14	2	0.09945
chr1	16004235	16004236	SRARP	.	+	ENSG00000183888.4	16000000	16240000	3	2	3	0.0176458333333334
chr1	16018874	16018875	CLCNKA	.	+	ENSG00000186510.12	16000000	16240000	3	2	3	0.0786416666666667
chr1	16019593	16019594	HSPB7	.	-	ENSG00000173641.17	16000000	16240000	3	2	3	0.0816416666666667
chr1	16043735	16043736	CLCNKB	.	+	ENSG00000184908.17	16040000	16240000	5	4	3	0.018675
chr1	16073650	16073651	FAM131C	.	-	ENSG00000185519.9	15760000	16080000	7	14	1	0.019840625
chr1	16156068	16156069	EPHA2	.	-	ENSG00000142627.13	16080000	16480000	7	1	28	0.1901725
chr1	16212651	16212652	ARHGEF19	.	-	ENSG00000142632.17	16040000	16240000	5	4	3	0.13674
chr1	16237182	16237183	CPLANE2	.	-	ENSG00000132881.12	16040000	16240000	5	4	3	0.014085
chr1	16352479	16352480	FBXO42	.	-	ENSG00000037637.11	16240000	16480000	3	3	28	0.468666666666667
chr1	16352574	16352575	SZRD1	.	+	ENSG00000055070.17	16240000	16480000	3	3	28	0.469058333333333
chr1	16437423	16437424	SPATA21	.	-	ENSG00000187144.11	16240000	16480000	3	3	28	0.1774
chr1	16440720	16440721	NECAP2	.	+	ENSG00000157191.20	16240000	16480000	3	3	28	0.163666666666667
chr1	16613561	16613562	NBPF1	.	-	ENSG00000219481.10	16480000	16880000	3	28	28	0.333905
chr1	16740272	16740273	CROCC	.	+	ENSG00000058453.17	16480000	16880000	3	28	28	0.34932
chr1	16980631	16980632	MFAP2	.	-	ENSG00000117122.14	16880000	17080000	3	28	1	0.49684
chr1	17011927	17011928	ATP13A2	.	-	ENSG00000159363.18	16880000	17080000	3	28	1	0.34036
chr1	17054031	17054032	SDHB	.	-	ENSG00000117118.10	16880000	17080000	3	28	1	0.12984
chr1	17119450	17119451	PADI2	.	-	ENSG00000117115.13	17080000	17400000	3	1	10	0.123284375
chr1	17205127	17205128	PADI1	.	+	ENSG00000142623.11	17080000	17400000	3	1	10	0.391021875
chr1	17249097	17249098	PADI3	.	+	ENSG00000142619.4	17080000	17400000	3	1	10	0.471571875
chr1	17308194	17308195	PADI4	.	+	ENSG00000159339.13	17080000	17400000	3	1	10	0.28689375
chr1	17372195	17372196	PADI6	.	+	ENSG00000276747.1	17080000	17400000	3	1	10	0.086890625
chr1	17439676	17439677	RCC2	.	-	ENSG00000179051.14	17400000	17640000	9	10	4	0.165320833333333
chr1	17539697	17539698	ARHGEF10L	.	+	ENSG00000074964.17	17400000	17640000	9	10	4	0.417929166666667
chr1	17755332	17755333	ACTL8	.	+	ENSG00000117148.8	17680000	18120000	4	6	1	0.171209090909091
chr1	18107797	18107798	IGSF21	.	+	ENSG00000117154.12	17680000	18120000	4	6	1	0.0277340909090909
chr1	18480981	18480982	KLHDC7A	.	+	ENSG00000179023.8	18120000	18560000	4	1	4	0.179588636363636
chr1	18630845	18630846	PAX7	.	+	ENSG00000009709.12	18600000	18880000	3	17	28	0.110160714285714
chr1	18859681	18859682	TAS1R2	.	-	ENSG00000179002.5	18600000	18880000	3	17	28	0.0725642857142857
chr1	18902723	18902724	ALDH4A1	.	-	ENSG00000159423.17	18880000	19080000	3	28	8	0.11362
chr1	18956675	18956676	IFFO2	.	-	ENSG00000169991.11	18880000	19080000	3	28	8	0.38338
chr1	19210265	19210266	UBR4	.	-	ENSG00000127481.15	19120000	19280000	4	15	8	0.4358375
chr1	19251526	19251527	EMC1	.	-	ENSG00000127463.15	19120000	19280000	4	15	8	0.17795625
chr1	19251804	19251805	MRTO4	.	+	ENSG00000053372.5	19120000	19280000	4	15	8	0.176225
chr1	19288769	19288770	AKR7A3	.	-	ENSG00000162482.5	19280000	19680000	4	8	2	0.021925
chr1	19312145	19312146	AKR7A2	.	-	ENSG00000053371.12	19080000	19320000	3	8	1	0.032725
chr1	19312325	19312326	SLC66A1	.	+	ENSG00000040487.13	19080000	19320000	3	8	1	0.0319791666666667
chr1	19484402	19484403	MICOS10	.	+	ENSG00000173436.15	19320000	19680000	3	1	2	0.456672222222222
chr1	19485538	19485539	CAPZB	.	-	ENSG00000077549.18	19320000	19680000	3	1	2	0.459830555555556
chr1	19596978	19596979	NBL1	.	+	ENSG00000158747.14	19320000	19680000	3	1	2	0.230616666666667
chr1	19597066	19597067	MICOS10-NBL1	.	+	ENSG00000270136.6	19320000	19680000	3	1	2	0.230372222222222
chr1	19664874	19664875	HTR6	.	+	ENSG00000158748.4	19320000	19680000	3	1	2	0.0420166666666666
chr1	19799944	19799945	TMCO4	.	-	ENSG00000162542.13	19760000	19880000	12	4	23	0.332875
